# golden parity table for FUZZY_CH_C: surface -> variants (oracle: fuzzy.py)
# one line per real surface; variants is a sorted comma-list (may be empty)
# surface	variants
a	
ai	
an	
ang	
ao	
ba	
bai	
ban	
bang	
bao	
bei	
ben	
beng	
bi	
bian	
biang	
biao	
bie	
bin	
bing	
bo	
bong	
bu	
ca	cha
cai	chai
can	chan
cang	chang
cao	chao
ce	che
cei	chei
cen	chen
ceng	cheng
cha	ca
chai	cai
chan	can
chang	cang
chao	cao
che	ce
chen	cen
cheng	ceng
chi	ci
chong	cong
chou	cou
chu	cu
chua	cua
chuai	cuai
chuan	cuan
chuang	cuang
chui	cui
chun	cun
chuo	cuo
ci	chi
cong	chong
cou	chou
cu	chu
cuan	chuan
cui	chui
cun	chun
cuo	chuo
da	
dai	
dan	
dang	
dao	
de	
dei	
den	
deng	
di	
dia	
dian	
diao	
die	
din	
ding	
diu	
dong	
dou	
du	
duan	
dui	
dun	
duo	
e	
ei	
en	
eng	
er	
fa	
fan	
fang	
fei	
fen	
feng	
fiao	
fo	
fou	
fu	
ga	
gai	
gan	
gang	
gao	
ge	
gei	
gen	
geng	
gong	
gou	
gu	
gua	
guai	
guan	
guang	
gui	
gun	
guo	
ha	
hai	
han	
hang	
hao	
he	
hei	
hen	
heng	
hm	
hng	
hong	
hou	
hu	
hua	
huai	
huan	
huang	
hui	
hun	
huo	
ji	
jia	
jian	
jiang	
jiao	
jie	
jin	
jing	
jiong	
jiu	
ju	
juan	
jue	
jun	
ka	
kai	
kan	
kang	
kao	
ke	
kei	
ken	
keng	
kong	
kou	
ku	
kua	
kuai	
kuan	
kuang	
kui	
kun	
kuo	
la	
lai	
lan	
lang	
lao	
le	
lei	
len	
leng	
li	
lia	
lian	
liang	
liao	
lie	
lin	
ling	
liu	
lo	
long	
lou	
lu	
luan	
lun	
luo	
lv	
lve	
ma	
mai	
man	
mang	
mao	
me	
mei	
men	
meng	
mi	
mian	
miao	
mie	
min	
ming	
miu	
mo	
mou	
mu	
m̀	
m̄	
n	
na	
nai	
nan	
nang	
nao	
ne	
nei	
nen	
neng	
ng	
ni	
nia	
nian	
niang	
niao	
nie	
nin	
ning	
niu	
nong	
nou	
nu	
nuan	
nun	
nuo	
nv	
nve	
o	
ou	
pa	
pai	
pan	
pang	
pao	
pei	
pen	
peng	
pi	
pian	
piao	
pie	
pin	
ping	
po	
pou	
pu	
qi	
qia	
qian	
qiang	
qiao	
qie	
qin	
qing	
qiong	
qiu	
qu	
quan	
que	
qun	
ran	
rang	
rao	
re	
ren	
reng	
ri	
rong	
rou	
ru	
rua	
ruan	
rui	
run	
ruo	
sa	
sai	
san	
sang	
sao	
se	
sen	
seng	
sha	
shai	
shan	
shang	
shao	
she	
shei	
shen	
sheng	
shi	
shou	
shu	
shua	
shuai	
shuan	
shuang	
shui	
shun	
shuo	
si	
song	
sou	
su	
suan	
sui	
sun	
suo	
ta	
tai	
tan	
tang	
tao	
te	
tei	
teng	
ti	
tian	
tiao	
tie	
ting	
tong	
tou	
tu	
tuan	
tui	
tun	
tuo	
wa	
wai	
wan	
wang	
wei	
wen	
weng	
wo	
wong	
wu	
xi	
xia	
xian	
xiang	
xiao	
xie	
xin	
xing	
xiong	
xiu	
xu	
xuan	
xue	
xun	
ya	
yan	
yang	
yao	
ye	
yi	
yin	
ying	
yo	
yong	
you	
yu	
yuan	
yue	
yun	
za	
zai	
zan	
zang	
zao	
ze	
zei	
zen	
zeng	
zha	
zhai	
zhan	
zhang	
zhao	
zhe	
zhei	
zhen	
zheng	
zhi	
zhong	
zhou	
zhu	
zhua	
zhuai	
zhuan	
zhuang	
zhui	
zhun	
zhuo	
zi	
zong	
zou	
zu	
zuan	
zui	
zun	
zuo	
ê̄	
ê̌	
ń	
ńg	
ň	
ňg	
ǹ	
ǹg	
ḿ	
ế	
ề	
