# golden parity table for FUZZY_ENG_EN: surface -> variants (oracle: fuzzy.py)
# one line per real surface; variants is a sorted comma-list (may be empty)
# surface	variants
a	
ai	
an	
ang	
ao	
ba	
bai	
ban	
bang	
bao	
bei	
ben	beng
beng	ben
bi	
bian	
biang	
biao	
bie	
bin	
bing	
bo	
bong	
bu	
ca	
cai	
can	
cang	
cao	
ce	
cei	
cen	ceng
ceng	cen
cha	
chai	
chan	
chang	
chao	
che	
chen	cheng
cheng	chen
chi	
chong	
chou	
chu	
chua	
chuai	
chuan	
chuang	
chui	
chun	
chuo	
ci	
cong	
cou	
cu	
cuan	
cui	
cun	
cuo	
da	
dai	
dan	
dang	
dao	
de	
dei	
den	deng
deng	den
di	
dia	
dian	
diao	
die	
din	
ding	
diu	
dong	
dou	
du	
duan	
dui	
dun	
duo	
e	
ei	
en	eng
eng	en
er	
fa	
fan	
fang	
fei	
fen	feng
feng	fen
fiao	
fo	
fou	
fu	
ga	
gai	
gan	
gang	
gao	
ge	
gei	
gen	geng
geng	gen
gong	
gou	
gu	
gua	
guai	
guan	
guang	
gui	
gun	
guo	
ha	
hai	
han	
hang	
hao	
he	
hei	
hen	heng
heng	hen
hm	
hng	
hong	
hou	
hu	
hua	
huai	
huan	
huang	
hui	
hun	
huo	
ji	
jia	
jian	
jiang	
jiao	
jie	
jin	
jing	
jiong	
jiu	
ju	
juan	
jue	
jun	
ka	
kai	
kan	
kang	
kao	
ke	
kei	
ken	keng
keng	ken
kong	
kou	
ku	
kua	
kuai	
kuan	
kuang	
kui	
kun	
kuo	
la	
lai	
lan	
lang	
lao	
le	
lei	
len	leng
leng	len
li	
lia	
lian	
liang	
liao	
lie	
lin	
ling	
liu	
lo	
long	
lou	
lu	
luan	
lun	
luo	
lv	
lve	
ma	
mai	
man	
mang	
mao	
me	
mei	
men	meng
meng	men
mi	
mian	
miao	
mie	
min	
ming	
miu	
mo	
mou	
mu	
m̀	
m̄	
n	
na	
nai	
nan	
nang	
nao	
ne	
nei	
nen	neng
neng	nen
ng	
ni	
nia	
nian	
niang	
niao	
nie	
nin	
ning	
niu	
nong	
nou	
nu	
nuan	
nun	
nuo	
nv	
nve	
o	
ou	
pa	
pai	
pan	
pang	
pao	
pei	
pen	peng
peng	pen
pi	
pian	
piao	
pie	
pin	
ping	
po	
pou	
pu	
qi	
qia	
qian	
qiang	
qiao	
qie	
qin	
qing	
qiong	
qiu	
qu	
quan	
que	
qun	
ran	
rang	
rao	
re	
ren	reng
reng	ren
ri	
rong	
rou	
ru	
rua	
ruan	
rui	
run	
ruo	
sa	
sai	
san	
sang	
sao	
se	
sen	seng
seng	sen
sha	
shai	
shan	
shang	
shao	
she	
shei	
shen	sheng
sheng	shen
shi	
shou	
shu	
shua	
shuai	
shuan	
shuang	
shui	
shun	
shuo	
si	
song	
sou	
su	
suan	
sui	
sun	
suo	
ta	
tai	
tan	
tang	
tao	
te	
tei	
teng	ten
ti	
tian	
tiao	
tie	
ting	
tong	
tou	
tu	
tuan	
tui	
tun	
tuo	
wa	
wai	
wan	
wang	
wei	
wen	weng
weng	wen
wo	
wong	
wu	
xi	
xia	
xian	
xiang	
xiao	
xie	
xin	
xing	
xiong	
xiu	
xu	
xuan	
xue	
xun	
ya	
yan	
yang	
yao	
ye	
yi	
yin	
ying	
yo	
yong	
you	
yu	
yuan	
yue	
yun	
za	
zai	
zan	
zang	
zao	
ze	
zei	
zen	zeng
zeng	zen
zha	
zhai	
zhan	
zhang	
zhao	
zhe	
zhei	
zhen	zheng
zheng	zhen
zhi	
zhong	
zhou	
zhu	
zhua	
zhuai	
zhuan	
zhuang	
zhui	
zhun	
zhuo	
zi	
zong	
zou	
zu	
zuan	
zui	
zun	
zuo	
ê̄	
ê̌	
ń	
ńg	
ň	
ňg	
ǹ	
ǹg	
ḿ	
ế	
ề	
