# golden parity table for FUZZY_HEPBURN_KUNREI: surface -> variants (oracle: fuzzy.py)
# one line per real surface; variants is a sorted comma-list (may be empty)
# surface	variants
a	
aa	
abaku	
abara	
abareru	
abiru	
abiseru	
abu	
abumi	
abunai	
abura	
aburaaka	
aburamushi	aburamusi
aburana	
aburatsubo	aburatubo
aburu	
achi	ati
ada	
adappoi	
adasuru	
adeyaka	
aegu	
aemono	
aenai	
aeru	
aete	
aezu	
afureru	ahureru
agaku	
agameru	
aganau	
agari	
agaru	
age	
agemaki	
ageru	
agetsurau	ageturau
agito	
agitou	
ago	
agohige	
agumu	
aguneru	
ahiru	
ai	
aida	
aimuko	
aisatsu	aisatu
aite	
aiyome	
aji	azi
ajika	azika
ajiwau	aziwau
aka	
akabana	
akagane	
akaginu	
akagire	
akago	
akai	
akakumi	
akakurige	
akane	
akarameru	
akaramu	
akari	
akarui	
akarumu	
akashi	akasi
akasu	
akatsuchi	akatsuti,akatuchi
akatsuki	akatuki
akauma	
akaza	
ake	
akebi	
akebono	
akekakaru	
akeru	
aki	
akichi	akiti
akikoboreru	
akinai	
akinau	
akinire	
akira	
akiraka	
akirakanisuru	
akirameru	
akireru	
akiru	
akitarinai	
akitariru	
akizora	
akogareru	
akome	
akou	
aku	
akubisuru	
akuru	
akuta	
akutsu	akutu
ama	
amadare	
amaeru	
amagoi	
amai	
amaneku	
amaneshi	amanesi
amari	
amaru	
amasake	
amasu	
amatsu	amatu
amatsusae	amatusae
amayakasu	
amazake	
ame	
amenouo	
ami	
amido	
amigashira	amigasira
aminotsuna	aminotuna
amu	
an	
ana	
anadoru	
anagura	
anazuru	
ane	
ani	
aniyome	
anmari	
anzu	
ao	
aoakagi	
aogaeru	
aogiri	
aogo	
aogu	
aoguro	
aoguroi	
aoi	
aomono	
aomuke	
aomukibana	
aoru	
aoumigame	
appare	
ara	
aragane	
aragau	
arai	
arakajime	arakazime
araki	
aranuno	
arare	
arashi	arasi
arashio	arasio
arasoiiu	
arasou	
arasu	
arata	
aratama	
aratamaru	
aratameru	
arato	
arau	
arawareru	
arawashishimesu	arawasisimesu
arawasu	
arazu	
arechi	areti
areno	
areru	
arewa	
ari	
arizuka	
aru	
arui	
aruiha	
aruji	aruzi
aruku	
aruminiumu	
asa	
asagao	
asagara	
asagi	
asahi	
asai	
asaito	
asari	
asaru	
ase	
asemo	
aseru	
ashi	asi
ashiato	asiato
ashibue	asibue
ashige	asige
ashikase	asikase
ashikiru	asikiru
ashimatsui	ashimatui,asimatsui
ashinae	asinae
ashinoho	asinoho
ashinokou	asinokou
ashinoura	asinoura
ashita	asita
ashitakagumo	asitakagumo
ashiura	asiura
asobasu	
asobi	
asobime	
asobu	
ata	
ataeru	
atai	
atakamo	
atama	
atamanokazari	
atarashii	atarasii
atari	
ataru	
atataka	
atatakai	
atatamaru	
atatameru	
atau	
ate	
ategi	
ateru	
ateyaka	
ato	
atsu	atu
atsugane	atugane
atsui	atui
atsukai	atukai
atsukaru	atukaru
atsukau	atukau
atsumariiu	atumariiu
atsumaru	atumaru
atsumeru	atumeru
atsumono	atumono
atsumononabe	atumononabe
atsuraeru	aturaeru
atsusaatari	atusaatari
atsushi	atsusi,atushi
au	
awa	
awabi	
awachi	awati
awai	
aware	
awaremu	
awase	
awasematsuru	awasematuru
awaseru	
awasu	
awatadashii	awatadasii
awateru	
aya	
ayabumu	
ayaginu	
ayakaru	
ayamachi	ayamati
ayamaru	
ayamatsu	ayamatu
ayameru	
ayashii	ayasii
ayashiikotoba	ayasiikotoba
ayashimu	ayasimu
ayatsuru	ayaturu
ayaui	
ayu	
ayumi	
ayumu	
aza	
azakeru	
azami	
azamuku	
azana	
azanau	
azaru	
azayaka	
aze	
azuchi	azuti
azukaru	
azukeru	
azuki	
azusa	
ba	
baa	
baba	
bachi	bati
bae	
bai	
bakasu	
bake	
bakemono	
bakeru	
baku	
ban	
banmeshi	banmesi
bara	
barai	
barakeru	
bare	
bari	
bariumu	
bassuru	
bata	
batake	
batsu	batu
batta	
bau	
be	
bechi	beti
bei	
beki	
ben	
beni	
bentou	
beririumu	
beshi	besi
betsu	betu
betsuni	betuni
betsuno	betuno
bi	
bichi	biti
bii	
biki	
bikko	
bin	
biraki	
bisumasu	
bita	
bitsu	bitu
bo	
bochi	boti
bokashi	bokasi
bokasu	
bokeru	
boko	
boku	
bon	
bora	
bori	
boro	
boshi	bosi
botan	
botsu	botu
bou	
boufura	bouhura
boukou	
bu	
buchi	buti
bukai	
buku	
bun	
buna	
bune	
buri	
bushi	busi
buta	
buto	
butsu	butu
butsubutsuiu	butubutuiu
butsukaru	butukaru
buu	
buyo	
buyu	
byaku	
byou	
byoubu	
byoutaru	
byuu	
cha	tya
chaku	tyaku
chan	tyan
chi	ti
chibiru	tibiru
chichi	titi
chichibu	titibu
chidori	tidori
chie	tie
chigaeru	tigaeru
chigai	tigai
chigau	tigau
chigaya	tigaya
chigiri	tigiri
chigiru	tigiru
chigyousho	chigyousyo,tigyousho
chihaya	tihaya
chii	tii
chiisai	tiisai
chiisanakui	tiisanakui
chijimaru	chizimaru,tijimaru
chijimeru	chizimeru,tijimeru
chijimi	chizimi,tijimi
chijimiaya	chizimiaya,tijimiaya
chijimu	chizimu,tijimu
chijirasu	chizirasu,tijirasu
chijireru	chizireru,tijireru
chikai	tikai
chikara	tikara
chikau	tikau
chikayoru	tikayoru
chikazuku	tikazuku
chiki	tiki
chikiri	tikiri
chiku	tiku
chimaki	timaki
chimata	timata
chin	tin
chinamu	tinamu
chinba	tinba
chinomigo	tinomigo
chinuru	tinuru
chirabaru	tirabaru
chirakaru	tirakaru
chirakasu	tirakasu
chirasu	tirasu
chiri	tiri
chiribameru	tiribameru
chirimen	tirimen
chiriyoke	tiriyoke
chiru	tiru
chisa	tisa
chisha	chisya,tisha
chissuru	tissuru
chisuji	chisuzi,tisuji
chitaniumu	titaniumu
chito	tito
chitsu	chitu,titsu
chitto	titto
cho	tyo
choku	tyoku
chorochoro	tyorotyoro
chou	tyou
chousenninjin	chousenninzin,tyousenninjin
chouzame	tyouzame
chouzuru	tyouzuru
chu	tyu
chuchi	chuti,tyuchi
chun	tyun
chutsu	chutu,tyutsu
chuu	tyuu
chuusuru	tyuusuru
da	
daasu	
dachi	dati
dai	
daidai	
daikon	
daka	
dake	
daki	
daku	
dama	
damaru	
damasu	
dan	
dana	
dani	
daore	
dare	
dasu	
date	
dateru	
datsu	datu
de	
deau	
dechi	deti
dei	
dekaguramu	
dekameetoru	
dekarittoru	
deki	
dekiagaranai	
dekimono	
dekinai	
deko	
deku	
den	
deru	
deshiguramu	desiguramu
deshimeetoru	desimeetoru
deshirittoru	desirittoru
detsu	detu
deu	
do	
dobato	
dobu	
dobugai	
doburoku	
dochi	doti
dodai	
dojou	dozyou
doki	
dokoro	
doku	
dokudami	
domari	
dome	
domo	
domoru	
don	
donaru	
donburi	
donguri	
dono	
doori	
dooshi	doosi
dora	
dori	
doro	
doroashige	doroasige
doru	
dotsu	dotu
dou	
dougamae	
e	
eba	
ebi	
ebira	
ebisu	
eburi	
echi	eti
eda	
edachi	edati
egaku	
eguru	
ei	
eki	
ekubo	
emishi	emisi
emu	
en	
ena	
enagamae	
endou	
enishi	enisi
enju	enzyu
enogo	
enoki	
era	
erabu	
erai	
eramu	
eri	
eru	
esa	
eso	
etsu	etu
eu	
eyami	
fu	hu
fuchi	futi,huchi
fuchidoru	futidoru,huchidoru
fuda	huda
fude	hude
fue	hue
fueru	hueru
fugo	hugo
fugu	hugu
fuigo	huigo
fuiito	huiito
fuji	fuzi,huji
fujibakama	fuzibakama,hujibakama
fujikazura	fuzikazura,hujikazura
fujimame	fuzimame,hujimame
fujimodoki	fuzimodoki,hujimodoki
fuka	huka
fukai	hukai
fukaidoro	hukaidoro
fukamaru	hukamaru
fukameru	hukameru
fukasu	hukasu
fukeru	hukeru
fuki	huki
fukinarasu	hukinarasu
fuku	huku
fukube	hukube
fukumeru	hukumeru
fukumidama	hukumidama
fukumu	hukumu
fukurahagi	hukurahagi
fukuramu	hukuramu
fukureru	hukureru
fukuro	hukuro
fukurou	hukurou
fukusa	hukusa
fumaeru	humaeru
fumaki	humaki
fumi	humi
fumiita	humiita
fuminijiru	fuminiziru,huminijiru
fumoto	humoto
fumu	humu
fumuto	humuto
fun	hun
funa	huna
funabata	hunabata
funaberi	hunaberi
funashiuzura	funasiuzura,hunashiuzura
funayosooi	hunayosooi
fundoshi	fundosi,hundoshi
fune	hune
funenoho	hunenoho
funsuru	hunsuru
furafurasuru	hurahurasuru
furan	huran
furanni	huranni
furebumi	hurebumi
fureru	hureru
furi	huri
furigane	hurigane
furitsuzumi	furituzumi,huritsuzumi
furu	huru
furueru	hurueru
furui	hurui
furusato	hurusato
furusu	hurusu
furuu	huruu
furuwaseru	huruwaseru
furuwasu	huruwasu
furuzake	huruzake
fusa	husa
fusagaru	husagaru
fusagu	husagu
fusego	husego
fusegu	husegu
fuseru	huseru
fushi	fusi,hushi
fushiito	fusiito,hushiito
fusu	husu
fusuberu	husuberu
fusuma	husuma
futa	huta
futago	hutago
futamata	hutamata
futamono	hutamono
futatabi	hutatabi
futatsu	futatu,hutatsu
futoi	hutoi
futokoro	hutokoro
futoru	hutoru
futsu	futu,hutsu
fuu	huu
fuyasu	huyasu
fuyu	huyu
fuza	huza
fuzoroi	huzoroi
ga	
gachi	gati
gadoriniumu	
gaenjiru	gaenziru
gagaimo	
gai	
gakari	
gakaru	
gake	
gaki	
gaku	
gama	
gamazumi	
gan	
gandare	
gane	
ganki	
gara	
garami	
gari	
gariumu	
garon	
gashira	gasira
gasuru	
gata	
gatai	
gatsu	gatu
gawa	
gawari	
gazami	
ge	
gechi	geti
gei	
geki	
gekisuru	
gen	
gensu	
gerumaniumu	
getsu	getu
gi	
gichi	giti
gigi	
giki	
giku	
gime	
gimi	
gin	
gire	
giri	
gitsu	gitu
giwa	
go	
gochi	goti
goe	
goisagi	
goki	
gokoro	
goku	
gomakasu	
gomame	
gomi	
gon	
gori	
goro	
goroshi	gorosi
goshi	gosi
goto	
gotoni	
gotoshi	gotosi
gotsu	gotu
gou	
gouman	
goumo	
goza	
gozaru	
gu	
guchi	guti
gumi	
gumo	
gun	
gurai	
guramu	
gururitomegurashitakaki	gururitomegurasitakaki
gurushii	gurusii
gusa	
gutsu	gutu
guu	
guusuru	
guwachi	guwati
gya	
gyaku	
gyo	
gyoku	
gyou	
gyuu	
ha	
haba	
habakaru	
habaki	
habamu	
habataki	
habataku	
haberu	
habikoru	
habuku	
hachi	hati
hachisu	hatisu
hada	
hadagi	
hadahe	
hadaka	
hadanugi	
hadanugu	
hadashi	hadasi
hadome	
hae	
haeru	
haezumi	
hafuridokoro	hahuridokoro
hagane	
hagareru	
hagasu	
hage	
hagemasu	
hagemu	
hageru	
hageshii	hagesii
hagi	
haginohone	
hagu	
haguki	
hagukumu	
hagureru	
hagusa	
haha	
hahadori	
hahaguri	
hahaso	
hahatsuchou	hahatsutyou,hahatuchou
hai	
hairu	
haitaka	
haji	hazi
hajikami	hazikami
hajikeru	hazikeru
hajikiyumi	hazikiyumi
hajiku	haziku
hajimaru	hazimaru
hajime	hazime
hajimeru	hazimeru
hajimete	hazimete
hajirau	hazirau
hajiru	haziru
haka	
hakaba	
hakadoru	
hakama	
hakamichi	hakamiti
hakanai	
hakarau	
hakari	
hakarigoto	
hakaru	
hake	
hakimono	
hakkirishinai	hakkirisinai
hako	
hakobe	
hakobu	
haku	
hama	
hamabishi	hamabisi
hamachi	hamati
hamaguri	
hamaru	
hamasuge	
hameru	
hamo	
hamu	
han	
hana	
hanabira	
hanabusa	
hanada	
hanagaki	
hanahada	
hanahadashii	hanahadasii
hanahiru	
hanaiki	
hanaji	hanazi
hanajiru	hanaziru
hanajunsai	hanazyunsai
hanakiri	
hanakiru	
hanamuke	
hananowaki	
hanareru	
hanashi	hanasi
hanashiru	hanasiru
hanasu	
hanasuge	
hanasuji	hanasuzi
hanatsu	hanatu
hanawa	
hanayaka	
hanazumari	
hane	
hanekazari	
hanenomoto	
haneodoru	
haneru	
hani	
hanzou	
haoto	
hara	
harai	
haraka	
harakudashi	harakudasi
harami	
haramu	
haranomushi	haranomusi
hararago	
harasu	
harau	
harawata	
hare	
haregi	
haremono	
hareru	
hari	
harigane	
harinezumi	
haritsuke	harituke
haru	
haruka	
hasamaru	
hasami	
hasamu	
haseru	
hashagu	hasyagu
hashi	hasi
hashibami	hasibami
hashigo	hasigo
hashika	hasika
hashike	hasike
hashira	hasira
hashiranomasugata	hasiranomasugata
hashiru	hasiru
hashitame	hasitame
hashizutsu	hashizutu,hasizutsu
hassuru	
hasu	
hasunone	
hata	
hataashi	hataasi
hataboko	
hatagashira	hatagasira
hatahata	
hataito	
hatajirushi	hatajirusi,hatazirushi
hatake	
hataku	
hataraku	
hatasu	
hatato	
hatazao	
hate	
hateganai	
hateru	
hato	
hatoba	
hatomugi	
hatsu	hatu
hatsukanezumi	hatukanezumi
hatsuru	haturu
hau	
haya	
hayabusa	
hayai	
hayaisama	
hayakuchi	hayakuti
hayakuutsu	hayakuutu
hayamaru	
hayameru	
hayase	
hayashi	hayasi
hayasu	
hayate	
hayauma	
hazama	
haze	
hazekome	
hazeru	
hazu	
hazukashii	hazukasii
hazukashimeru	hazukasimeru
hazumi	
hazumu	
hazureru	
hazusu	
he	
hebi	
hechi	heti
hedataru	
hedateru	
hego	
hegu	
hei	
heisuru	
heki	
hekisuru	
hekomu	
hekutoguramu	
hekutomeetoru	
hekutorittoru	
hen	
hena	
hera	
herasu	
heri	
herikudaru	
heru	
hesaki	
heso	
hesu	
heta	
hetsu	hetu
hetsurai	heturai
hetsurau	heturau
hettsui	
heya	
hezuru	
hi	
hibari	
hibi	
hibiki	
hibiku	
hichi	hiti
hichigi	hitigi
hichikudoi	hitikudoi
hichiriki	hitiriki
hida	
hidari	
hidarinoudeganai	
hidarite	
hideri	
hidoi	
hie	
hieru	
higaarawareru	
higai	
higamu	
higasa	
higashi	higasi
hige	
higuma	
higurashi	higurasi
hihi	
hii	
hiideru	
hiiragi	
hiji	hizi
hijiki	hiziki
hijiri	hiziri
hikae	
hikaeru	
hikagami	
hikage	
hikari	
hikaru	
hikeru	
hiki	
hikiiru	
hikiri	
hikitomeru	
hikitsubusu	hikitubusu
hikitsuke	hikituke
hikitsuru	hikituru
hikizuna	
hiko	
hikobae	
hiku	
hikui	
hikuihimegaki	
hikumaru	
hikumeru	
hima	
hime	
himegaki	
himeru	
himo	
himogori	
himojii	himozii
himono	
himorogi	
himotoku	
himushi	himusi
hin	
hina	
hinabiru	
hinekuru	
hineru	
hinoe	
hinohikari	
hinoki	
hinokuchi	hinokuti
hinoshi	hinosi
hinoto	
hira	
