# golden parity table for FUZZY_LONG_VOWEL: surface -> variants (oracle: fuzzy.py)
# one line per real surface; variants is a sorted comma-list (may be empty)
# surface	variants
a	
aa	
abaku	
abara	
abareru	
abiru	
abiseru	
abu	
abumi	
abunai	
abura	
aburaaka	
aburamushi	
aburana	
aburatsubo	
aburu	
achi	
ada	
adappoi	
adasuru	
adeyaka	
aegu	
aemono	
aenai	
aeru	
aete	
aezu	
afureru	
agaku	
agameru	
aganau	
agari	
agaru	
age	
agemaki	
ageru	
agetsurau	
agito	
agitou	agito
ago	
agohige	
agumu	
aguneru	
ahiru	
ai	
aida	
aimuko	
aisatsu	
aite	
aiyome	
aji	
ajika	
ajiwau	
aka	
akabana	
akagane	
akaginu	
akagire	
akago	
akai	
akakumi	
akakurige	
akane	
akarameru	
akaramu	
akari	
akarui	
akarumu	
akashi	
akasu	
akatsuchi	
akatsuki	
akauma	
akaza	
ake	
akebi	
akebono	
akekakaru	
akeru	
aki	
akichi	
akikoboreru	
akinai	
akinau	
akinire	
akira	
akiraka	
akirakanisuru	
akirameru	
akireru	
akiru	
akitarinai	
akitariru	
akizora	
akogareru	
akome	
akou	ako
aku	
akubisuru	
akuru	
akuta	
akutsu	
ama	
amadare	
amaeru	
amagoi	
amai	
amaneku	
amaneshi	
amari	
amaru	
amasake	
amasu	
amatsu	
amatsusae	
amayakasu	
amazake	
ame	
amenouo	amenoo
ami	
amido	
amigashira	
aminotsuna	
amu	
an	
ana	
anadoru	
anagura	
anazuru	
ane	
ani	
aniyome	
anmari	
anzu	
ao	
aoakagi	
aogaeru	
aogiri	
aogo	
aogu	
aoguro	
aoguroi	
aoi	
aomono	
aomuke	
aomukibana	
aoru	
aoumigame	aomigame
appare	
ara	
aragane	
aragau	
arai	
arakajime	
araki	
aranuno	
arare	
arashi	
arashio	
arasoiiu	
arasou	araso
arasu	
arata	
aratama	
aratamaru	
aratameru	
arato	
arau	
arawareru	
arawashishimesu	
arawasu	
arazu	
arechi	
areno	
areru	
arewa	
ari	
arizuka	
aru	
arui	
aruiha	
aruji	
aruku	
aruminiumu	
asa	
asagao	
asagara	
asagi	
asahi	
asai	
asaito	
asari	
asaru	
ase	
asemo	
aseru	
ashi	
ashiato	
ashibue	
ashige	
ashikase	
ashikiru	
ashimatsui	
ashinae	
ashinoho	
ashinokou	ashinoko
ashinoura	ashinora
ashita	
ashitakagumo	
ashiura	
asobasu	
asobi	
asobime	
asobu	
ata	
ataeru	
atai	
atakamo	
atama	
atamanokazari	
atarashii	
atari	
ataru	
atataka	
atatakai	
atatamaru	
atatameru	
atau	
ate	
ategi	
ateru	
ateyaka	
ato	
atsu	
atsugane	
atsui	
atsukai	
atsukaru	
atsukau	
atsumariiu	
atsumaru	
atsumeru	
atsumono	
atsumononabe	
atsuraeru	
atsusaatari	
atsushi	
au	
awa	
awabi	
awachi	
awai	
aware	
awaremu	
awase	
awasematsuru	
awaseru	
awasu	
awatadashii	
awateru	
aya	
ayabumu	
ayaginu	
ayakaru	
ayamachi	
ayamaru	
ayamatsu	
ayameru	
ayashii	
ayashiikotoba	
ayashimu	
ayatsuru	
ayaui	
ayu	
ayumi	
ayumu	
aza	
azakeru	
azami	
azamuku	
azana	
azanau	
azaru	
azayaka	
aze	
azuchi	
azukaru	
azukeru	
azuki	
azusa	
ba	
baa	
baba	
bachi	
bae	
bai	
bakasu	
bake	
bakemono	
bakeru	
baku	
ban	
banmeshi	
bara	
barai	
barakeru	
bare	
bari	
bariumu	
bassuru	
bata	
batake	
batsu	
batta	
bau	
be	
bechi	
bei	
beki	
ben	
beni	
bentou	bento
beririumu	
beshi	
betsu	
betsuni	
betsuno	
bi	
bichi	
bii	
biki	
bikko	
bin	
biraki	
bisumasu	
bita	
bitsu	
bo	
bochi	
bokashi	
bokasu	
bokeru	
boko	
boku	
bon	
bora	
bori	
boro	
boshi	
botan	
botsu	
bou	bo
boufura	bofura
boukou	boko
bu	
buchi	
bukai	
buku	
bun	
buna	
bune	
buri	
bushi	
buta	
buto	
butsu	
butsubutsuiu	
butsukaru	
buu	bu
buyo	
buyu	
byaku	
byou	byo
byoubu	byobu
byoutaru	byotaru
byuu	byu
cha	
chaku	
chan	
chi	
chibiru	
chichi	
chichibu	
chidori	
chie	
chigaeru	
chigai	
chigau	
chigaya	
chigiri	
chigiru	
chigyousho	chigyosho
chihaya	
chii	
chiisai	
chiisanakui	
chijimaru	
chijimeru	
chijimi	
chijimiaya	
chijimu	
chijirasu	
chijireru	
chikai	
chikara	
chikau	
chikayoru	
chikazuku	
chiki	
chikiri	
chiku	
chimaki	
chimata	
chin	
chinamu	
chinba	
chinomigo	
chinuru	
chirabaru	
chirakaru	
chirakasu	
chirasu	
chiri	
chiribameru	
chirimen	
chiriyoke	
chiru	
chisa	
chisha	
chissuru	
chisuji	
chitaniumu	
chito	
chitsu	
chitto	
cho	
choku	
chorochoro	
chou	cho
chousenninjin	chosenninjin
chouzame	chozame
chouzuru	chozuru
chu	
chuchi	
chun	
chutsu	
chuu	chu
chuusuru	chusuru
da	
daasu	
dachi	
dai	
daidai	
daikon	
daka	
dake	
daki	
daku	
dama	
damaru	
damasu	
dan	
dana	
dani	
daore	
dare	
dasu	
date	
dateru	
datsu	
de	
deau	
dechi	
dei	
dekaguramu	
dekameetoru	
dekarittoru	
deki	
dekiagaranai	
dekimono	
dekinai	
deko	
deku	
den	
deru	
deshiguramu	
deshimeetoru	
deshirittoru	
detsu	
deu	
do	
dobato	
dobu	
dobugai	
doburoku	
dochi	
dodai	
dojou	dojo
doki	
dokoro	
doku	
dokudami	
domari	
dome	
domo	
domoru	
don	
donaru	
donburi	
donguri	
dono	
doori	dori
dooshi	doshi
dora	
dori	
doro	
doroashige	
doru	
dotsu	
dou	do
dougamae	dogamae
e	
eba	
ebi	
ebira	
ebisu	
eburi	
echi	
eda	
edachi	
egaku	
eguru	
ei	
eki	
ekubo	
emishi	
emu	
en	
ena	
enagamae	
endou	endo
enishi	
enju	
enogo	
enoki	
era	
erabu	
erai	
eramu	
eri	
eru	
esa	
eso	
etsu	
eu	
eyami	
fu	
fuchi	
fuchidoru	
fuda	
fude	
fue	
fueru	
fugo	
fugu	
fuigo	
fuiito	
fuji	
fujibakama	
fujikazura	
fujimame	
fujimodoki	
fuka	
fukai	
fukaidoro	
fukamaru	
fukameru	
fukasu	
fukeru	
fuki	
fukinarasu	
fuku	
fukube	
fukumeru	
fukumidama	
fukumu	
fukurahagi	
fukuramu	
fukureru	
fukuro	
fukurou	fukuro
fukusa	
fumaeru	
fumaki	
fumi	
fumiita	
fuminijiru	
fumoto	
fumu	
fumuto	
fun	
funa	
funabata	
funaberi	
funashiuzura	
funayosooi	funayosoi
fundoshi	
fune	
funenoho	
funsuru	
furafurasuru	
furan	
furanni	
furebumi	
fureru	
furi	
furigane	
furitsuzumi	
furu	
furueru	
furui	
furusato	
furusu	
furuu	furu
furuwaseru	
furuwasu	
furuzake	
fusa	
fusagaru	
fusagu	
fusego	
fusegu	
fuseru	
fushi	
fushiito	
fusu	
fusuberu	
fusuma	
futa	
futago	
futamata	
futamono	
futatabi	
futatsu	
futoi	
futokoro	
futoru	
futsu	
fuu	fu
fuyasu	
fuyu	
fuza	
fuzoroi	
ga	
gachi	
gadoriniumu	
gaenjiru	
gagaimo	
gai	
gakari	
gakaru	
gake	
gaki	
gaku	
gama	
gamazumi	
gan	
gandare	
gane	
ganki	
gara	
garami	
gari	
gariumu	
garon	
gashira	
gasuru	
gata	
gatai	
gatsu	
gawa	
gawari	
gazami	
ge	
gechi	
gei	
geki	
gekisuru	
gen	
gensu	
gerumaniumu	
getsu	
gi	
gichi	
gigi	
giki	
giku	
gime	
gimi	
gin	
gire	
giri	
gitsu	
giwa	
go	
gochi	
goe	
goisagi	
goki	
gokoro	
goku	
gomakasu	
gomame	
gomi	
gon	
gori	
goro	
goroshi	
goshi	
goto	
gotoni	
gotoshi	
gotsu	
gou	go
gouman	goman
goumo	gomo
goza	
gozaru	
gu	
guchi	
gumi	
gumo	
gun	
gurai	
guramu	
gururitomegurashitakaki	
gurushii	
gusa	
gutsu	
guu	gu
guusuru	gusuru
guwachi	
gya	
gyaku	
gyo	
gyoku	
gyou	gyo
gyuu	gyu
ha	
haba	
habakaru	
habaki	
habamu	
habataki	
habataku	
haberu	
habikoru	
habuku	
hachi	
hachisu	
hada	
hadagi	
hadahe	
hadaka	
hadanugi	
hadanugu	
hadashi	
hadome	
hae	
haeru	
haezumi	
hafuridokoro	
hagane	
hagareru	
hagasu	
hage	
hagemasu	
hagemu	
hageru	
hageshii	
hagi	
haginohone	
hagu	
haguki	
hagukumu	
hagureru	
hagusa	
haha	
hahadori	
hahaguri	
hahaso	
hahatsuchou	hahatsucho
hai	
hairu	
haitaka	
haji	
hajikami	
hajikeru	
hajikiyumi	
hajiku	
hajimaru	
hajime	
hajimeru	
hajimete	
hajirau	
hajiru	
haka	
hakaba	
hakadoru	
hakama	
hakamichi	
hakanai	
hakarau	
hakari	
hakarigoto	
hakaru	
hake	
hakimono	
hakkirishinai	
hako	
hakobe	
hakobu	
haku	
hama	
hamabishi	
hamachi	
hamaguri	
hamaru	
hamasuge	
hameru	
hamo	
hamu	
han	
hana	
hanabira	
hanabusa	
hanada	
hanagaki	
hanahada	
hanahadashii	
hanahiru	
hanaiki	
hanaji	
hanajiru	
hanajunsai	
hanakiri	
hanakiru	
hanamuke	
hananowaki	
hanareru	
hanashi	
hanashiru	
hanasu	
hanasuge	
hanasuji	
hanatsu	
hanawa	
hanayaka	
hanazumari	
hane	
hanekazari	
hanenomoto	
haneodoru	
haneru	
hani	
hanzou	hanzo
haoto	
hara	
harai	
haraka	
harakudashi	
harami	
haramu	
haranomushi	
hararago	
harasu	
harau	
harawata	
hare	
haregi	
haremono	
hareru	
hari	
harigane	
harinezumi	
haritsuke	
haru	
haruka	
hasamaru	
hasami	
hasamu	
haseru	
hashagu	
hashi	
hashibami	
hashigo	
hashika	
hashike	
hashira	
hashiranomasugata	
hashiru	
hashitame	
hashizutsu	
hassuru	
hasu	
hasunone	
hata	
hataashi	
hataboko	
hatagashira	
hatahata	
hataito	
hatajirushi	
hatake	
hataku	
hataraku	
hatasu	
hatato	
hatazao	
hate	
hateganai	
hateru	
hato	
hatoba	
hatomugi	
hatsu	
hatsukanezumi	
hatsuru	
hau	
haya	
hayabusa	
hayai	
hayaisama	
hayakuchi	
hayakuutsu	hayakutsu
hayamaru	
hayameru	
hayase	
hayashi	
hayasu	
hayate	
hayauma	
hazama	
haze	
hazekome	
hazeru	
hazu	
hazukashii	
hazukashimeru	
hazumi	
hazumu	
hazureru	
hazusu	
he	
hebi	
hechi	
hedataru	
hedateru	
hego	
hegu	
hei	
heisuru	
heki	
hekisuru	
hekomu	
hekutoguramu	
hekutomeetoru	
hekutorittoru	
hen	
hena	
hera	
herasu	
heri	
herikudaru	
heru	
hesaki	
heso	
hesu	
heta	
hetsu	
hetsurai	
hetsurau	
hettsui	
heya	
hezuru	
hi	
hibari	
hibi	
hibiki	
hibiku	
hichi	
hichigi	
hichikudoi	
hichiriki	
hida	
hidari	
hidarinoudeganai	hidarinodeganai
hidarite	
hideri	
hidoi	
hie	
hieru	
higaarawareru	
higai	
higamu	
higasa	
higashi	
hige	
higuma	
higurashi	
hihi	
hii	
hiideru	
hiiragi	
hiji	
hijiki	
hijiri	
hikae	
hikaeru	
hikagami	
hikage	
hikari	
hikaru	
hikeru	
hiki	
hikiiru	
hikiri	
hikitomeru	
hikitsubusu	
hikitsuke	
hikitsuru	
hikizuna	
hiko	
hikobae	
hiku	
hikui	
hikuihimegaki	
hikumaru	
hikumeru	
hima	
hime	
himegaki	
himeru	
himo	
himogori	
himojii	
himono	
himorogi	
himotoku	
himushi	
hin	
hina	
hinabiru	
hinekuru	
hineru	
hinoe	
hinohikari	
hinoki	
hinokuchi	
hinoshi	
hinoto	
hira	
hirakeru	
hiraki	
hirakiugokasu	
hiraku	
hirame	
hirameki	
hirameku	
hiratai	
hiratake	
hiratobari	
hire	
hiro	
hirobiroto	
hirogaru	
hirogeru	
hiroi	
hiroiago	
hiromaru	
hiromeru	
hirou	hiro
hiru	
hirugaeru	
hirugaesu	
hirugao	
hirumu	
hisage	
hisagi	
hisago	
hisagu	
hisame	
hisashi	
hisashii	
hishaku	
hishi	
hishigu	
hishihishi	
hishiko	
hishikui	
hishimeku	
hishio	
hiso	
hisoka	
hisokani	
hisokanishiru	
hisokaniukagaishiru	
hisomeru	
hisomu	
hissageru	
hissori	
hitai	
hitaki	
hitaru	
hitasu	
hitata	
hito	
hitoashi	
hitoe	
hitoenotsutsusodeudenuki	
hitomawari	
hitomi	
hitomigakagayaku	
hitomoshi	
hitori	
hitorimono	
hitoshii	
hitoshiku	
hitoshikusuru	
hitotsu	
hitoya	
hitoyozake	
hitsu	
hitsugi	
hitsugiguruma	
hitsugikazari	
hitsuginawa	
hitsuji	
hitsujisaru	
hiuchi	
hiwa	
hiya	
hiyakasu	
hiyasu	
hiyayaka	
hiyodori	
hiyoko	
hiyomeki	
hiyu	
hiza	
hizakake	
hizamazuku	
hizashi	
hizume	
hizumu	
ho	
hobashira	
hobo	
hochi	
hodasu	
hodo	
hodokeru	
hodokosu	
hodoku	
hoeru	
hofuru	
hogaraka	
hogoru	
hogusu	
hoho	
hohoemu	
hojishi	
hoka	
hokeru	
hoko	
hokobukuro	
hokora	
hokori	
hokorobiru	
hokoru	
hokosaki	
hokozukuri	
hoku	
hokuro	
hokuso	
homare	
homeru	
hon	
honbako	
hone	
hono	
honogurai	
honoka	
honomekasu	
honomeku	
honoo	hono
hoo	ho
hoobone	hobone
hoohige	hohige
hora	
horeru	
hori	
horo	
horobiru	
horobosu	
horobu	
horoguruma	
horu	
hosaki	
hoshi	
hoshii	
hoshiii	
hoshiimama	
hoshiuo	
hosohimo	
hosoi	
hosonuno	
hosoru	
hossu	
hossuru	
hosu	
hota	
hotaru	
hotobashiru	
hotogi	
hotohoto	
hotoke	
hotondo	
hotori	
hototogisu	
hotsu	
hou	ho
houdate	hodate
houjiru	hojiru
houki	hoki
houkigusa	hokigusa
houmuru	homuru
hourensou	horenso
houru	horu
houzuru	hozuru
hozo	
hyaku	
hyoi	
hyoku	
hyou	hyo
hyoushigi	hyoshigi
hyu	
hyuku	
hyuu	hyu
i	
ibara	
ibari	
ibiki	
ibitsu	
ibo	
ibukaru	
iburu	
ibusu	
ichi	
ichibi	
ichigo	
ichijirushii	
idaku	
idasu	
ideru	
idomu	
ie	
iedomo	
ienokatawara	
ieru	
iga	
igamu	
igata	
ige	
igeta	
igurumi	
ihai	
ihaya	
ii	
iiarasou	iiaraso
iinayamu	
iitateru	
iitsuke	
ijikuru	
ijimeru	
ijiru	
ika	
ikada	
