# shuangpin pyjj (拼音加加): pinyin syllable -> code (ported from RIME rime-double-pinyin, BSD-3-Clause)
# pinyin	code
a	oa
ai	os
an	of
ang	og
ao	od
ba	ba
bai	bs
ban	bf
bang	bg
bao	bd
bei	bw
ben	br
beng	bt
bi	bi
bian	bj
biang	bh
biao	bk
bie	bm
bin	bl
bing	bq
bo	bo
bong	by
bu	bu
ca	ca
cai	cs
can	cf
cang	cg
cao	cd
ce	ce
cei	cw
cen	cr
ceng	ct
cha	ua
chai	us
chan	uf
chang	ug
chao	ud
che	ue
chen	ur
cheng	ut
chi	ui
chong	uy
chou	up
chu	uu
chua	ub
chuai	ux
chuan	uc
chuang	uh
chui	uv
chun	uz
chuo	uo
ci	ci
cong	cy
cou	cp
cu	cu
cuan	cc
cui	cv
cun	cz
cuo	co
da	da
dai	ds
dan	df
dang	dg
dao	dd
de	de
dei	dw
den	dr
deng	dt
di	di
dia	db
dian	dj
diao	dk
die	dm
din	dl
ding	dq
diu	dn
dong	dy
dou	dp
du	du
duan	dc
dui	dv
dun	dz
duo	do
e	oe
ei	ow
en	or
eng	ot
er	oq
fa	fa
fan	ff
fang	fg
fei	fw
fen	fr
feng	ft
fiao	fk
fo	fo
fou	fp
fu	fu
ga	ga
gai	gs
gan	gf
gang	gg
gao	gd
ge	ge
gei	gw
gen	gr
geng	gt
gong	gy
gou	gp
gu	gu
gua	gb
guai	gx
guan	gc
guang	gh
gui	gv
gun	gz
guo	go
ha	ha
hai	hs
han	hf
hang	hg
hao	hd
he	he
hei	hw
hen	hr
heng	ht
hm	hm
hng	hng
hong	hy
hou	hp
hu	hu
hua	hb
huai	hx
huan	hc
huang	hh
hui	hv
hun	hz
huo	ho
ji	ji
jia	jb
jian	jj
jiang	jh
jiao	jk
jie	jm
jin	jl
jing	jq
jiong	jy
jiu	jn
ju	jv
juan	jc
jue	jx
jun	jz
ka	ka
kai	ks
kan	kf
kang	kg
kao	kd
ke	ke
kei	kw
ken	kr
keng	kt
kong	ky
kou	kp
ku	ku
kua	kb
kuai	kx
kuan	kc
kuang	kh
kui	kv
kun	kz
kuo	ko
la	la
lai	ls
lan	lf
lang	lg
lao	ld
le	le
lei	lw
len	lr
leng	lt
li	li
lia	lb
lian	lj
liang	lh
liao	lk
lie	lm
lin	ll
ling	lq
liu	ln
lo	lo
long	ly
lou	lp
lu	lu
luan	lc
lun	lz
luo	lo
lv	lv
lve	lx
ma	ma
mai	ms
man	mf
mang	mg
mao	md
me	me
mei	mw
men	mr
meng	mt
mi	mi
mian	mj
miao	mk
mie	mm
min	ml
ming	mq
miu	mn
mo	mo
mou	mp
mu	mu
m̀	m̀
m̄	m̄
n	n
na	na
nai	ns
nan	nf
nang	ng
nao	nd
ne	ne
nei	nw
nen	nr
neng	nt
ng	ng
ni	ni
nia	nb
nian	nj
niang	nh
niao	nk
nie	nm
nin	nl
ning	nq
niu	nn
nong	ny
nou	np
nu	nu
nuan	nc
nun	nz
nuo	no
nv	nv
nve	nx
o	oo
ou	op
pa	pa
pai	ps
pan	pf
pang	pg
pao	pd
pei	pw
pen	pr
peng	pt
pi	pi
pian	pj
piao	pk
pie	pm
pin	pl
ping	pq
po	po
pou	pp
pu	pu
qi	qi
qia	qb
qian	qj
qiang	qh
qiao	qk
qie	qm
qin	ql
qing	qq
qiong	qy
qiu	qn
qu	qv
quan	qc
que	qx
qun	qz
ran	rf
rang	rg
rao	rd
re	re
ren	rr
reng	rt
ri	ri
rong	ry
rou	rp
ru	ru
rua	rb
ruan	rc
rui	rv
run	rz
ruo	ro
sa	sa
sai	ss
san	sf
sang	sg
sao	sd
se	se
sen	sr
seng	st
sha	ia
shai	is
shan	if
shang	ig
shao	id
she	ie
shei	iw
shen	ir
sheng	it
shi	ii
shou	ip
shu	iu
shua	ib
shuai	ix
shuan	ic
shuang	ih
shui	iv
shun	iz
shuo	io
si	si
song	sy
sou	sp
su	su
suan	sc
sui	sv
sun	sz
suo	so
ta	ta
tai	ts
tan	tf
tang	tg
tao	td
te	te
tei	tw
teng	tt
ti	ti
tian	tj
tiao	tk
tie	tm
ting	tq
tong	ty
tou	tp
tu	tu
tuan	tc
tui	tv
tun	tz
tuo	to
wa	wa
wai	ws
wan	wf
wang	wg
wei	ww
wen	wr
weng	wt
wo	wo
wong	wy
wu	wu
xi	xi
xia	xb
xian	xj
xiang	xh
xiao	xk
xie	xm
xin	xl
xing	xq
xiong	xy
xiu	xn
xu	xv
xuan	xc
xue	xx
xun	xz
ya	ya
yan	yf
yang	yg
yao	yd
ye	ye
yi	yi
yin	yl
ying	yq
yo	yo
yong	yy
you	yp
yu	yv
yuan	yc
yue	yx
yun	yz
za	za
zai	zs
zan	zf
zang	zg
zao	zd
ze	ze
zei	zw
zen	zr
zeng	zt
zha	va
zhai	vs
zhan	vf
zhang	vg
zhao	vd
zhe	ve
zhei	vw
zhen	vr
zheng	vt
zhi	vi
zhong	vy
zhou	vp
zhu	vu
zhua	vb
zhuai	vx
zhuan	vc
zhuang	vh
zhui	vv
zhun	vz
zhuo	vo
zi	zi
zong	zy
zou	zp
zu	zu
zuan	zc
zui	zv
zun	zz
zuo	zo
ê̄	ê̄
ê̌	ê̌
ń	ń
ńg	ńg
ň	ň
ňg	ňg
ǹ	ǹ
ǹg	ǹg
ḿ	ḿ
ế	ế
ề	ề
