# codepoint	char	readings_display	readings_normalized	tones	freq	sources
U+30	0	ling4	ling4	4	3	WORDSHK_CHARS
U+31	1	jat1	jat1	1	3	WORDSHK_CHARS
U+32	2	ji6	ji6	6	6	WORDSHK_CHARS
U+33	3	fi1,saam1	fi1,saam1	1,1	1,6	WORDSHK_CHARS
U+34	4	fo1,sei3	fo1,sei3	1,3	1,9	WORDSHK_CHARS
U+35	5	m4,m6,ng5	m4,m6,ng5	4,6,5	2,2,1	WORDSHK_CHARS
U+36	6	luk1,luk6	luk1,luk6	1,6	4,3	WORDSHK_CHARS
U+37	7	cat1,cat6	cat1,cat6	1,6	1,2	WORDSHK_CHARS
U+38	8	baat3	baat3	3	4	WORDSHK_CHARS
U+39	9	gau1,gau2,gau6,naai1	gau1,gau2,gau6,naai1	1,2,6,1	1,9,2,1	WORDSHK_CHARS
U+41	A	ei1	ei1	1	31	WORDSHK_CHARS
U+42	B	bi1,bi4,bit1	bi1,bi4,bit1	1,4,1	40,9,2	WORDSHK_CHARS
U+43	C	si1	si1	1	17	WORDSHK_CHARS
U+44	D	di1,di2,dit1	di1,di2,dit1	1,2,1	21,2,2	WORDSHK_CHARS
U+45	E	i1,ji1,si1	i1,ji1,si1	1,1,1	1,9,1	WORDSHK_CHARS
U+46	F	e1	e1	1	1	WORDSHK_CHARS
U+47	G	zi1,zyu1	zi1,zyu1	1,1	6,1	WORDSHK_CHARS
U+49	I	aai1	aai1	1	10	WORDSHK_CHARS
U+4A	J	zei1	zei1	1	5	WORDSHK_CHARS
U+4B	K	ke1,kei1	ke1,kei1	1,1	1,38	WORDSHK_CHARS
U+4C	L	eu1,lau4	eu1,lau4	1,4	3,1	WORDSHK_CHARS
U+4D	M	em1,en1,ming4,sem1	em1,en1,ming4,sem1	1,1,4,1	29,1,1,1	WORDSHK_CHARS
U+4E	N	en1	en1	1	10	WORDSHK_CHARS
U+4F	O	fou1,ou1,sou1	fou1,ou1,sou1	1,1,1	1,25,2	WORDSHK_CHARS
U+50	P	pei1,pi1	pei1,pi1	1,1	1,23	WORDSHK_CHARS
U+51	Q	kiu1	kiu1	1	20	WORDSHK_CHARS
U+52	R	aau1	aau1	1	7	WORDSHK_CHARS
U+53	S	e1	e1	1	2	WORDSHK_CHARS
U+54	T	ti1	ti1	1	20	WORDSHK_CHARS
U+55	U	ju1	ju1	1	4	WORDSHK_CHARS
U+56	V	wi1	wi1	1	12	WORDSHK_CHARS
U+57	W	win1	win1	1	1	WORDSHK_CHARS
U+58	X	ik1	ik1	1	2	WORDSHK_CHARS
U+59	Y	waai1	waai1	1	2	WORDSHK_CHARS
U+5A	Z	set1	set1	1	1	WORDSHK_CHARS
U+61	a	ei1,o6	ei1,o6	1,6	2,1	WORDSHK_CHARS
U+62	b	bi1	bi1	1	1	WORDSHK_CHARS
U+63	c	si1	si1	1	5	WORDSHK_CHARS
U+64	d	di1	di1	1	1	WORDSHK_CHARS
U+67	g	zi1	zi1	1	2	WORDSHK_CHARS
U+69	i	aai1	aai1	1	1	WORDSHK_CHARS
U+6B	k	kei1	kei1	1	3	WORDSHK_CHARS
U+6C	l	toeng1	toeng1	1	1	WORDSHK_CHARS
U+6D	m	em1,mit1	em1,mit1	1,1	8,1	WORDSHK_CHARS
U+6F	o	ou1	ou1	1	3	WORDSHK_CHARS
U+70	p	pi1	pi1	1	7	WORDSHK_CHARS
U+71	q	kiu1	kiu1	1	2	WORDSHK_CHARS
U+74	t	nik4	nik4	4	1	WORDSHK_CHARS
U+B7	·	dim2	dim2	2	1	WORDSHK_CHARS
U+2EAE	⺮	zuk1	zuk1	1	1	WORDSHK_CHARS
