# codepoint	char	readings_display	readings_normalized	tones	freq	sources
U+34B5	㒵	かお	kao	0	0	KANJIDIC,PYPINYIN,UNIHAN
U+3D9A	㶚	ハ,バ	ha,ba	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN
U+3E60	㹠	トン	ton	0	0	KANJIDIC,PYPINYIN,UNIHAN
U+4E00	一	イチ,イツ,ひと,ひとつ	ichi,itsu,hito,hitotsu	0,0,0,0	0,0,0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+4E01	丁	チョウ,テイ,チン,トウ,チ,ひのと	chou,tei,chin,tou,chi,hinoto	0,0,0,0,0,0	0,0,0,0,0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+4E02	丂	コウ,さまたげられる	kou,samatagerareru	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN
U+4E03	七	シチ,なな,ななつ,なの	shichi,nana,nanatsu,nano	0,0,0,0	0,0,0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+4E04	丄	ジョウ,ショウ,うえ,うわ,かみ,あげる,あがる,あがり,のぼる,のぼせる,のぼす,よす	jou,shou,ue,uwa,kami,ageru,agaru,agari,noboru,noboseru,nobosu,yosu	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+4E05	丅	カ,ゲ,した,しも,もと,さげる,さがる,くだる,くだす,くださる,おろす,おりる	ka,ge,shita,shimo,moto,sageru,sagaru,kudaru,kudasu,kudasaru,orosu,oriru	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+4E07	万	マン,バン,よろず	man,ban,yorozu	0,0,0	0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+4E08	丈	ジョウ,たけ,だけ	jou,take,dake	0,0,0	0,0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+4E09	三	サン,ゾウ,み,みつ,みっつ	san,zou,mi,mitsu,mittsu	0,0,0,0,0	0,0,0,0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+4E0A	上	ジョウ,ショウ,シャン,うえ,うわ,かみ,あげる,あがる,あがり,のぼる,のぼり,のぼせる,のぼす,たてまつる	jou,shou,shan,ue,uwa,kami,ageru,agaru,agari,noboru,nobori,noboseru,nobosu,tatematsuru	0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+4E0B	下	カ,ゲ,した,しも,もと,さげる,さがる,くだる,くだり,くだす,くださる,おろす,おりる	ka,ge,shita,shimo,moto,sageru,sagaru,kudaru,kudari,kudasu,kudasaru,orosu,oriru	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+4E0C	丌	キ,ゴ,それ,その,だい	ki,go,sore,sono,dai	0,0,0,0,0	0,0,0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+4E0D	不	フ,ブ	fu,bu	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+4E0E	与	ヨ,あたえる,あずかる,くみする,ともに	yo,ataeru,azukaru,kumisuru,tomoni	0,0,0,0,0	0,0,0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+4E0F	丏	ベン,メン,みえぬ	ben,men,mienu	0,0,0	0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+4E10	丐	カイ,こう	kai,kou	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+4E11	丑	チュウ,うし	chuu,ushi	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+4E12	丒	チュウ,うし	chuu,ushi	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN
U+4E14	且	ショ,ソ,ショウ,かつ	sho,so,shou,katsu	0,0,0,0	0,0,0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+4E15	丕	ヒ,おおきい	hi,ookii	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN
U+4E16	世	セイ,セ,ソウ,よ	sei,se,sou,yo	0,0,0,0	0,0,0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+4E17	丗	セイ,セ,ソウ,よ,さんじゅう	sei,se,sou,yo,sanjuu	0,0,0,0,0	0,0,0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+4E18	丘	キュウ,おか	kyuu,oka	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+4E19	丙	ヘイ,ひのえ	hei,hinoe	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+4E1E	丞	ジョウ,ショウ,すくう,たすける	jou,shou,sukuu,tasukeru	0,0,0,0	0,0,0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
