# codepoints	text	readings_display	readings_normalized	source
U+3003	〃	おなじ	onaji	JMDICT
U+4EDD	仝	どう	dou	JMDICT
U+3005	々	のま	noma	JMDICT
U+25CB	○	まる	maru	JMDICT
U+FF21,U+FF22,U+FF23,U+9806	ＡＢＣ順	エービーシーじゅん	eebiishiijun	JMDICT
U+FF23,U+FF24,U+30D7,U+30EC,U+30FC,U+30E4,U+30FC	ＣＤプレーヤー	シーディープレーヤー	shiideiipureeyaa	JMDICT
U+FF2E,U+97FF	Ｎ響	エヌきょう	enukyou	JMDICT
U+FF2F,U+30D0,U+30C3,U+30AF	Ｏバック	オーバック	oobakku	JMDICT
U+FF34,U+30B7,U+30E3,U+30C4	Ｔシャツ	ティーシャツ	teiishatsu	JMDICT
U+FF34,U+30D0,U+30C3,U+30AF	Ｔバック	ティーバック	teiibakku	JMDICT
U+963F,U+543D,U+306E,U+547C,U+5438	阿吽の呼吸	あうんのこきゅう	aunnokokyuu	JMDICT
U+660E,U+767D	明白	めいはく	meihaku	JMDICT
U+660E,U+767D	明白	あからさま	akarasama	JMDICT
U+660E,U+304B,U+3093	明かん	あかん	akan	JMDICT
U+60AA,U+3069,U+3044	悪どい	あくどい	akudoi	JMDICT
U+8AD6,U+3046	論う	あげつらう	agetsurau	JMDICT
U+9047,U+3046	遇う	あしらう	ashirau	JMDICT
U+99AC,U+9154,U+6728	馬酔木	あせび	asebi	JMDICT
U+5F7C,U+51E6	彼処	あそこ	asoko	JMDICT
U+3042,U+3063,U+3068,U+3044,U+3046,U+9593,U+306B	あっという間に	あっというまに	attoiumani	JMDICT
U+5F7C,U+306E	彼の	あの	ano	JMDICT
U+3042,U+306E,U+4EBA	あの人	あのひと	anohito	JMDICT
U+3042,U+306E,U+65B9	あの方	あのかた	anokata	JMDICT
U+6EA2,U+308C,U+308B	溢れる	あぶれる	abureru	JMDICT
U+963F,U+5446,U+9640,U+7F85	阿呆陀羅	あほんだら	ahondara	JMDICT
U+7518,U+5B50	甘子	あまご	amago	JMDICT
U+29E8A	𩺊	あら	ara	JMDICT
U+5F7C	彼	あれ	are	JMDICT
U+3044,U+3044,U+52A0,U+6E1B,U+306B,U+3057,U+306A,U+3055,U+3044	いい加減にしなさい	いいかげんにしなさい	iikagennishinasai	JMDICT
U+3044,U+3044,U+5E74,U+3092,U+3057,U+3066	いい年をして	いいとしをして	iitoshiwoshite	JMDICT
U+5426,U+3005	否々	いやいや	iyaiya	JMDICT
U+5982,U+4F55,U+308F,U+3057,U+3044	如何わしい	いかがわしい	ikagawashii	JMDICT
U+3044,U+304B,U+306A,U+308B,U+5834,U+5408,U+3067,U+3082	いかなる場合でも	いかなるばあいでも	ikanarubaaidemo	JMDICT
U+5982,U+4F55,U+306B,U+3082	如何にも	いかにも	ikanimo	JMDICT
U+5E7E,U+3064,U+3082	幾つも	いくつも	ikutsumo	JMDICT
U+884C,U+3051,U+306A,U+3044	行けない	いけない	ikenai	JMDICT
U+53EF,U+6190,U+3057,U+3044	可憐しい	いじらしい	ijirashii	JMDICT
U+3044,U+3058,U+308A,U+56DE,U+3059	いじり回す	いじりまわす	ijirimawasu	JMDICT
U+4F55,U+6642,U+3082,U+3088,U+308A	何時もより	いつもより	itsumoyori	JMDICT
U+3044,U+3068,U+3082,U+7C21,U+5358,U+306B	いとも簡単に	いともかんたんに	itomokantanni	JMDICT
U+9BD4,U+80CC	鯔背	いなせ	inase	JMDICT
U+5636,U+304F	嘶く	いななく	inanaku	JMDICT
U+5636,U+304D	嘶き	いななき	inanaki	JMDICT
U+5ACC,U+306B	嫌に	いやに	iyani	JMDICT
U+5C45,U+3089,U+3063,U+3057,U+3083,U+308B	居らっしゃる	いらっしゃる	irassharu	JMDICT
U+755D,U+308A	畝り	うねり	uneri	JMDICT
U+72FC,U+72FD,U+3048,U+308B	狼狽える	うろたえる	urotaeru	JMDICT
U+9C5D	鱝	えい	ei	JMDICT
U+6589,U+9B5A	斉魚	えつ	etsu	JMDICT
U+304A,U+51FA,U+3067,U+306B,U+306A,U+308B	お出でになる	おいでになる	oideninaru	JMDICT
U+304A,U+3051,U+3055,U+7BC0	おけさ節	おけさぶし	okesabushi	JMDICT
U+304A,U+5EA7,U+306A,U+308A,U+306B,U+306A,U+308B	お座なりになる	おざなりになる	ozanarininaru	JMDICT
U+608D,U+307E,U+3057,U+3044	悍ましい	おぞましい	ozomashii	JMDICT
U+843D,U+3063,U+3053,U+3061,U+308B	落っこちる	おっこちる	okkochiru	JMDICT
U+5FA1,U+7530	御田	おでん	oden	JMDICT
U+304A,U+934B	お鍋	おなべ	onabe	JMDICT
U+304A,U+8CA0,U+3051,U+306B	お負けに	おまけに	omakeni	JMDICT
U+304A,U+546A,U+3044	お呪い	おまじない	omajinai	JMDICT
U+304A,U+8941,U+8913,U+6C17,U+89E6,U+308C	お襁褓気触れ	おむつかぶれ	omutsukabure	JMDICT
U+304A,U+7CA7,U+3057	お粧し	おめかし	omekashi	JMDICT
U+304A,U+3081,U+3067,U+3068,U+3046,U+5FA1,U+5EA7,U+3044,U+307E,U+3059	おめでとう御座います	おめでとうございます	omedetougozaimasu	JMDICT
U+304A,U+63E1,U+308A	お握り	おにぎり	onigiri	JMDICT
U+304A,U+9670	お陰	おかげ	okage	JMDICT
U+304A,U+9670,U+69D8	お陰様	おかげさま	okagesama	JMDICT
U+304A,U+4E0B,U+3052	お下げ	おさげ	osage	JMDICT
U+304A,U+5316,U+3051	お化け	おばけ	obake	JMDICT
U+304A,U+5316,U+3051,U+5C4B,U+6577	お化け屋敷	おばけやしき	obakeyashiki	JMDICT
U+304A,U+5AC1,U+3055,U+3093	お嫁さん	およめさん	oyomesan	JMDICT
U+304A,U+83D3,U+5B50	お菓子	おかし	okashi	JMDICT
U+304A,U+9858,U+3044,U+3057,U+307E,U+3059	お願いします	おねがいします	onegaishimasu	JMDICT
U+304A,U+9858,U+3044,U+3044,U+305F,U+3057,U+307E,U+3059	お願いいたします	おねがいいたします	onegaiitashimasu	JMDICT
U+304A,U+5E30,U+308A,U+306A,U+3055,U+3044	お帰りなさい	おかえりなさい	okaerinasai	JMDICT
U+304A,U+6C17,U+306E,U+6BD2	お気の毒	おきのどく	okinodoku	JMDICT
U+304A,U+5BA2,U+3055,U+3093	お客さん	おきゃくさん	okyakusan	JMDICT
U+304A,U+5BA2,U+69D8	お客様	おきゃくさま	okyakusama	JMDICT
U+304A,U+4F11,U+307F,U+306A,U+3055,U+3044	お休みなさい	おやすみなさい	oyasuminasai	JMDICT
U+304A,U+5BAE	お宮	おみや	omiya	JMDICT
U+304A,U+5BAE,U+53C2,U+308A	お宮参り	おみやまいり	omiyamairi	JMDICT
U+304A,U+4F9B	お供	おとも	otomo	JMDICT
U+304A,U+91D1	お金	おかね	okane	JMDICT
U+304A,U+5144,U+3055,U+3093	お兄さん	おにいさん	oniisan	JMDICT
U+304A,U+5144,U+3061,U+3083,U+3093	お兄ちゃん	おにいちゃん	oniichan	JMDICT
U+304A,U+7D50,U+3073	お結び	おむすび	omusubi	JMDICT
U+304A,U+898B,U+3048,U+306B,U+306A,U+308B	お見えになる	おみえになる	omieninaru	JMDICT
U+304A,U+898B,U+821E,U+3044	お見舞い	おみまい	omimai	JMDICT
U+304A,U+53E4	お古	おふる	ofuru	JMDICT
U+304A,U+597D,U+307F,U+713C,U+304D	お好み焼き	おこのみやき	okonomiyaki	JMDICT
U+304A,U+69CB,U+3044,U+306A,U+304F	お構いなく	おかまいなく	okamainaku	JMDICT
U+304A,U+7D5E,U+308A	お絞り	おしぼり	oshibori	JMDICT
U+304A,U+672D	お札	おさつ	osatsu	JMDICT
U+304A,U+96D1,U+716E	お雑煮	おぞうに	ozouni	JMDICT
U+304A,U+4E09,U+6642	お三時	おさんじ	osanji	JMDICT
U+304A,U+53C2,U+308A	お参り	おまいり	omairi	JMDICT
U+304A,U+7523	お産	おさん	osan	JMDICT
U+304A,U+4ED5,U+821E,U+3044	お仕舞い	おしまい	oshimai	JMDICT
U+304A,U+4F7F,U+3044	お使い	おつかい	otsukai	JMDICT
U+304A,U+59C9,U+3055,U+3093	お姉さん	おねえさん	oneesan	JMDICT
U+304A,U+5B50,U+3055,U+3093	お子さん	おこさん	okosan	JMDICT
U+304A,U+5B50,U+69D8	お子様	おこさま	okosama	JMDICT
U+304A,U+6B6F,U+9ED2	お歯黒	おはぐろ	ohaguro	JMDICT
