# codepoint	char	readings_display	readings_normalized	tones	freq	sources
U+3400	㐀	구	구	0	0	HANGUL
U+3401	㐁	첨	첨	0	0	HANGUL
U+3402	㐂	칠,희	칠,희	0,0	0,0	HANGUL
U+3403	㐃	마	마	0	0	HANGUL
U+3404	㐄	과	과	0	0	HANGUL
U+3405	㐅	오	오	0	0	HANGUL
U+3406	㐆	은,의	은,의	0,0	0,0	HANGUL
U+3407	㐇	굴	굴	0	0	HANGUL
U+3408	㐈	둘	둘	0	0	HANGUL
U+3409	㐉	절	절	0	0	HANGUL
U+340A	㐊	살	살	0	0	HANGUL
U+340B	㐋	톨	톨	0	0	HANGUL
U+340C	㐌	이	이	0	0	HANGUL
U+340D	㐍	졸,뜰	졸,뜰	0,0	0,0	HANGUL
U+340E	㐎	글	글	0	0	HANGUL
U+340F	㐏	올	올	0	0	HANGUL
U+3410	㐐	놀	놀	0	0	HANGUL
U+3411	㐑	돌	돌	0	0	HANGUL
U+3412	㐒	졸	졸	0	0	HANGUL
U+3413	㐓	갈	갈	0	0	HANGUL
U+3414	㐔	골	골	0	0	HANGUL
U+3415	㐕	율	율	0	0	HANGUL
U+3416	㐖	혈	혈	0	0	HANGUL
U+3417	㐗	놀	놀	0	0	HANGUL
U+3418	㐘	쌀	쌀	0	0	HANGUL
U+3419	㐙	둘	둘	0	0	HANGUL
U+341A	㐚	올	올	0	0	HANGUL
U+341B	㐛	울	울	0	0	HANGUL
U+341C	㐜	구	구	0	0	HANGUL
U+341D	㐝	굴	굴	0	0	HANGUL
U+341E	㐞	길	길	0	0	HANGUL
U+341F	㐟	길	길	0	0	HANGUL
U+3420	㐠	율	율	0	0	HANGUL
U+3421	㐡	유	유	0	0	HANGUL
U+3422	㐢	뜰	뜰	0	0	HANGUL
U+3423	㐣	골	골	0	0	HANGUL
U+3424	㐤	구,단	구,단	0,0	0,0	HANGUL
U+3425	㐥	설	설	0	0	HANGUL
U+3426	㐦	걸,들	걸,들	0,0	0,0	HANGUL
U+3427	㐧	제	제	0	0	HANGUL
U+3428	㐨	서	서	0	0	HANGUL
U+3429	㐩	형	형	0	0	HANGUL
U+342A	㐪	천,해	천,해	0,0	0,0	HANGUL
U+342B	㐫	흉	흉	0	0	HANGUL
U+342C	㐬	류,황	류,황	0,0	0,0	HANGUL
U+342D	㐭	름	름	0	0	HANGUL
U+342E	㐮	양	양	0	0	HANGUL
U+342F	㐯	용	용	0	0	HANGUL
U+3430	㐰	신,개	신,개	0,0	0,0	HANGUL
U+3431	㐱	진	진	0	0	HANGUL
U+3432	㐲	대	대	0	0	HANGUL
U+3433	㐳	올	올	0	0	HANGUL
U+3434	㐴	반	반	0	0	HANGUL
U+3435	㐵	유	유	0	0	HANGUL
U+3436	㐶	사	사	0	0	HANGUL
U+3437	㐷	마,매	마,매	0,0	0,0	HANGUL
U+3438	㐸	흠	흠	0	0	HANGUL
U+3439	㐹	흘,올	흘,올	0,0	0,0	HANGUL
U+343A	㐺	중	중	0	0	HANGUL
U+343B	㐻	내	내	0	0	HANGUL
U+343C	㐼	승,증	승,증	0,0	0,0	HANGUL
U+343D	㐽	풍	풍	0	0	HANGUL
U+343E	㐾	원	원	0	0	HANGUL
U+343F	㐿	격	격	0	0	HANGUL
U+3440	㑀	태	태	0	0	HANGUL
U+3441	㑁	출	출	0	0	HANGUL
U+3442	㑂	방	방	0	0	HANGUL
U+3443	㑃	요	요	0	0	HANGUL
U+3444	㑄	모	모	0	0	HANGUL
U+3445	㑅	작	작	0	0	HANGUL
U+3446	㑆	이	이	0	0	HANGUL
U+3447	㑇	추	추	0	0	HANGUL
U+3448	㑈	동	동	0	0	HANGUL
U+3449	㑉	숙	숙	0	0	HANGUL
U+344A	㑊	역	역	0	0	HANGUL
U+344B	㑋	궁	궁	0	0	HANGUL
U+344C	㑌	왕	왕	0	0	HANGUL
U+344D	㑍	뢰	뢰	0	0	HANGUL
U+344E	㑎	뇌	뇌	0	0	HANGUL
U+344F	㑏	저	저	0	0	HANGUL
U+3450	㑐	숙	숙	0	0	HANGUL
U+3451	㑑	자	자	0	0	HANGUL
U+3452	㑒	첨	첨	0	0	HANGUL
U+3453	㑓	준	준	0	0	HANGUL
U+3454	㑔	수	수	0	0	HANGUL
U+3455	㑕	세	세	0	0	HANGUL
U+3456	㑖	중	중	0	0	HANGUL
U+3457	㑗	신	신	0	0	HANGUL
U+3458	㑘	개	개	0	0	HANGUL
U+3459	㑙	접	접	0	0	HANGUL
U+345A	㑚	나	나	0	0	HANGUL
U+345B	㑛	속	속	0	0	HANGUL
U+345C	㑜	절,체	절,체	0,0	0,0	HANGUL
U+345D	㑝	롱	롱	0	0	HANGUL
U+345E	㑞	잉	잉	0	0	HANGUL
U+345F	㑟	팽	팽	0	0	HANGUL
U+3460	㑠	견,수	견,수	0,0	0,0	HANGUL
U+3461	㑡	즉	즉	0	0	HANGUL
U+3462	㑢	각	각	0	0	HANGUL
U+3463	㑣	람	람	0	0	HANGUL
U+3464	㑤	묘	묘	0	0	HANGUL
U+3465	㑥	이	이	0	0	HANGUL
U+3466	㑦	려	려	0	0	HANGUL
U+3467	㑧	계	계	0	0	HANGUL
U+3468	㑨	오,우	오,우	0,0	0,0	HANGUL
U+3469	㑩	라	라	0	0	HANGUL
U+346A	㑪	제	제	0	0	HANGUL
U+346B	㑫	념	념	0	0	HANGUL
U+346C	㑬	고	고	0	0	HANGUL
U+346D	㑭	비	비	0	0	HANGUL
U+346E	㑮	혼	혼	0	0	HANGUL
U+346F	㑯	수	수	0	0	HANGUL
U+3470	㑰	훼	훼	0	0	HANGUL
U+3471	㑱	요	요	0	0	HANGUL
U+3472	㑲	남,비	남,비	0,0	0,0	HANGUL
U+3473	㑳	추,주	추,주	0,0	0,0	HANGUL
U+3474	㑴	침	침	0	0	HANGUL
U+3475	㑵	질	질	0	0	HANGUL
U+3476	㑶	희	희	0	0	HANGUL
U+3477	㑷	태	태	0	0	HANGUL
U+3478	㑸	요	요	0	0	HANGUL
U+3479	㑹	회	회	0	0	HANGUL
U+347A	㑺	준	준	0	0	HANGUL
U+347B	㑻	말	말	0	0	HANGUL
U+347C	㑼	략	략	0	0	HANGUL
U+347D	㑽	당	당	0	0	HANGUL
U+347E	㑾	요	요	0	0	HANGUL
U+347F	㑿	소	소	0	0	HANGUL
U+3480	㒀	적	적	0	0	HANGUL
U+3481	㒁	우,어	우,어	0,0	0,0	HANGUL
U+3482	㒂	착	착	0	0	HANGUL
U+3483	㒃	이	이	0	0	HANGUL
U+3484	㒄	연	연	0	0	HANGUL
U+3485	㒅	계	계	0	0	HANGUL
U+3486	㒆	흡	흡	0	0	HANGUL
U+3487	㒇	무	무	0	0	HANGUL
U+3488	㒈	감,함	감,함	0,0	0,0	HANGUL
U+3489	㒉	창	창	0	0	HANGUL
U+348A	㒊	습	습	0	0	HANGUL
U+348B	㒋	시	시	0	0	HANGUL
U+348C	㒌	경	경	0	0	HANGUL
U+348D	㒍	루	루	0	0	HANGUL
U+348E	㒎	삽	삽	0	0	HANGUL
U+348F	㒏	한	한	0	0	HANGUL
U+3490	㒐	순	순	0	0	HANGUL
U+3491	㒑	회	회	0	0	HANGUL
U+3492	㒒	복	복	0	0	HANGUL
U+3493	㒓	달	달	0	0	HANGUL
U+3494	㒔	독	독	0	0	HANGUL
U+3495	㒕	앙	앙	0	0	HANGUL
U+3496	㒖	우	우	0	0	HANGUL
U+3497	㒗	대	대	0	0	HANGUL
U+3498	㒘	수	수	0	0	HANGUL
U+3499	㒙	면	면	0	0	HANGUL
U+349A	㒚	은,온	은,온	0,0	0,0	HANGUL
U+349B	㒛	조	조	0	0	HANGUL
U+349C	㒜	여	여	0	0	HANGUL
U+349D	㒝	멸	멸	0	0	HANGUL
U+349E	㒞	준	준	0	0	HANGUL
U+349F	㒟	뇨,조	뇨,조	0,0	0,0	HANGUL
U+34A0	㒠	해	해	0	0	HANGUL
U+34A1	㒡	유	유	0	0	HANGUL
U+34A2	㒢	약	약	0	0	HANGUL
U+34A3	㒣	응	응	0	0	HANGUL
U+34A4	㒤	섭	섭	0	0	HANGUL
U+34A5	㒥	풍	풍	0	0	HANGUL
U+34A6	㒦	뢰	뢰	0	0	HANGUL
U+34A7	㒧	려	려	0	0	HANGUL
U+34A8	㒨	선	선	0	0	HANGUL
U+34A9	㒩	라	라	0	0	HANGUL
U+34AA	㒪	석	석	0	0	HANGUL
U+34AB	㒫	기	기	0	0	HANGUL
U+34AC	㒬	왕	왕	0	0	HANGUL
U+34AD	㒭	곤	곤	0	0	HANGUL
U+34AE	㒮	시	시	0	0	HANGUL
U+34AF	㒯	엽	엽	0	0	HANGUL
U+34B0	㒰	전	전	0	0	HANGUL
U+34B1	㒱	몽	몽	0	0	HANGUL
U+34B2	㒲	재,모	재,모	0,0	0,0	HANGUL
U+34B3	㒳	량	량	0	0	HANGUL
U+34B4	㒴	골	골	0	0	HANGUL
U+34B5	㒵	모	모	0	0	HANGUL
U+34B6	㒶	공	공	0	0	HANGUL
U+34B7	㒷	흥	흥	0	0	HANGUL
U+34B8	㒸	수	수	0	0	HANGUL
U+34B9	㒹	전	전	0	0	HANGUL
U+34BA	㒺	망	망	0	0	HANGUL
U+34BB	㒻	모	모	0	0	HANGUL
U+34BC	㒼	만	만	0	0	HANGUL
U+34BD	㒽	권	권	0	0	HANGUL
U+34BE	㒾	시	시	0	0	HANGUL
U+34BF	㒿	리	리	0	0	HANGUL
U+34C0	㓀	복	복	0	0	HANGUL
U+34C1	㓁	명,망	명,망	0,0	0,0	HANGUL
U+34C2	㓂	구	구	0	0	HANGUL
U+34C3	㓃	타,투	타,투	0,0	0,0	HANGUL
U+34C4	㓄	침	침	0	0	HANGUL
U+34C5	㓅	정	정	0	0	HANGUL
U+34C6	㓆	륜	륜	0	0	HANGUL
U+34C7	㓇	옥	옥	0	0	HANGUL
U+34C8	㓈	빙	빙	0	0	HANGUL
U+34C9	㓉	활	활	0	0	HANGUL
U+34CA	㓊	동	동	0	0	HANGUL
U+34CB	㓋	공	공	0	0	HANGUL
U+34CC	㓌	쟁	쟁	0	0	HANGUL
U+34CD	㓍	충	충	0	0	HANGUL
U+34CE	㓎	침	침	0	0	HANGUL
U+34CF	㓏	경	경	0	0	HANGUL
U+34D0	㓐	륙	륙	0	0	HANGUL
U+34D1	㓑	행	행	0	0	HANGUL
U+34D2	㓒	칠	칠	0	0	HANGUL
U+34D3	㓓	남	남	0	0	HANGUL
U+34D4	㓔	사	사	0	0	HANGUL
U+34D5	㓕	멸	멸	0	0	HANGUL
U+34D6	㓖	필	필	0	0	HANGUL
U+34D7	㓗	결	결	0	0	HANGUL
