# codepoints	text	readings_display	readings_normalized	source
U+5BA2,U+8ECA	객차	객차	객차	KOREAN_CORPUS
U+8ECA,U+5EAB	차고	차고	차고	KOREAN_CORPUS
U+91D1,U+6C0F	김씨	김씨	김씨	KOREAN_CORPUS
U+5927,U+4FDD	태보	태보	태보	KOREAN_CORPUS
U+5927,U+50D5	태복	태복	태복	KOREAN_CORPUS
U+FA01,U+652F	탁지	탁지	탁지	KOREAN_CORPUS
U+8C6B,U+FA01	예탁	예탁	예탁	KOREAN_CORPUS
U+53E5,U+F95A	구두	구두	구두	KOREAN_CORPUS
U+F9DE,U+F95A	이두	이두	이두	KOREAN_CORPUS
U+FA05,U+9054	통달	통달	통달	KOREAN_CORPUS
U+FA05,U+5BDF	통찰	통찰	통찰	KOREAN_CORPUS
U+FA05,U+71ED	통촉	통촉	통촉	KOREAN_CORPUS
U+5C19,U+7236	상보	상보	상보	KOREAN_CORPUS
U+5C3C,U+7236	이보	이보	이보	KOREAN_CORPUS
U+53E4,U+516C,U+4EB6,U+7236	고공단보	고공단보	고공단보	KOREAN_CORPUS
U+6557,U+F963	패배	패배	패배	KOREAN_CORPUS
U+758F,U+F969	소삭	소삭	소삭	KOREAN_CORPUS
U+7169,U+F969	번삭	번삭	번삭	KOREAN_CORPUS
U+6578,U+7F5F	촉고	촉고	촉고	KOREAN_CORPUS
U+7C1E,U+98DF	단사	단사	단사	KOREAN_CORPUS
U+F9BF,U+5C71,U+F9BF,U+6C34	요산요수	요산요수	요산요수	KOREAN_CORPUS
U+963F,U+5E72	아한	아한	아한	KOREAN_CORPUS
U+9E7D,U+5E72	염한	염한	염한	KOREAN_CORPUS
U+66F4,U+5F35	경장	경장	경장	KOREAN_CORPUS
U+8B8A,U+66F4	변경	변경	변경	KOREAN_CORPUS
U+767D,U+4E7E,U+8836	백간잠	백간잠	백간잠	KOREAN_CORPUS
U+898B,U+9F52	현치	현치	현치	KOREAN_CORPUS
U+8B01,U+FA0A	알현	알현	알현	KOREAN_CORPUS
U+671D,U+FA0A	조현	조현	조현	KOREAN_CORPUS
U+9B4B,U+7D50	추계	추계	추계	KOREAN_CORPUS
U+690E,U+7D50	추계	추계	추계	KOREAN_CORPUS
U+F909,U+4E39	글안	글안	글안	KOREAN_CORPUS
U+51FA,U+5FC5,U+544A	출필곡	출필곡	출필곡	KOREAN_CORPUS
U+5410,U+8C37,U+6E3E	토욕혼	토욕혼	토욕혼	KOREAN_CORPUS
U+F907,U+9451	귀감	귀감	귀감	KOREAN_CORPUS
U+F908,U+F9A0	균열	균열	균열	KOREAN_CORPUS
U+8336,U+9053	다도	다도	다도	KOREAN_CORPUS
U+8336,U+623F	다방	다방	다방	KOREAN_CORPUS
U+55AE,U+4E8E	선우	선우	선우	KOREAN_CORPUS
U+8DF3,U+9A45	조구	조구	조구	KOREAN_CORPUS
U+8DF3,U+9A30	조등	조등	조등	KOREAN_CORPUS
U+9B5A,U+8DF3	어조	어조	어조	KOREAN_CORPUS
U+7690,U+9676	고요	고요	고요	KOREAN_CORPUS
U+5BB6,U+96B8	가예	가예	가예	KOREAN_CORPUS
U+5974,U+96B8	노예	노예	노예	KOREAN_CORPUS
U+50D5,U+96B8	복예	복예	복예	KOREAN_CORPUS
U+8892,U+514D	단문	단문	단문	KOREAN_CORPUS
U+5192,U+9813	묵돌	묵돌	묵돌	KOREAN_CORPUS
U+8986,U+80B2	부육	부육	부육	KOREAN_CORPUS
U+8986,U+7FFC	부익	부익	부익	KOREAN_CORPUS
U+4F0F,U+9DC4	부계	부계	부계	KOREAN_CORPUS
U+F966,U+6D3B	부활	부활	부활	KOREAN_CORPUS
U+F966,U+8208	부흥	부흥	부흥	KOREAN_CORPUS
U+5426,U+585E	비색	비색	비색	KOREAN_CORPUS
U+5426,U+904B	비운	비운	비운	KOREAN_CORPUS
U+5BFA,U+6B63	시정	시정	시정	KOREAN_CORPUS
U+4E5D,U+5BFA	구시	구시	구시	KOREAN_CORPUS
U+6AA2,U+7D22	검색	검색	검색	KOREAN_CORPUS
U+601D,U+7D22	사색	사색	사색	KOREAN_CORPUS
U+6E1B,U+F970	감쇄	감쇄	감쇄	KOREAN_CORPUS
U+60F1,U+F970	뇌쇄	뇌쇄	뇌쇄	KOREAN_CORPUS
U+76F8,U+F970	상쇄	상쇄	상쇄	KOREAN_CORPUS
U+F970,U+5230	쇄도	쇄도	쇄도	KOREAN_CORPUS
U+544A,U+8A34,U+F9FA	고소장	고소장	고소장	KOREAN_CORPUS
U+F98E,U+8CC0,U+F9FA	연하장	연하장	연하장	KOREAN_CORPUS
U+8CDE,U+F9FA	상장	상장	상장	KOREAN_CORPUS
U+62D4,U+672C,U+F96C,U+6E90	발본색원	발본색원	발본색원	KOREAN_CORPUS
U+9589,U+585E	폐색	폐색	폐색	KOREAN_CORPUS
U+904A,U+F96F	유세	유세	유세	KOREAN_CORPUS
U+6085,U+F95C	열락	열락	열락	KOREAN_CORPUS
U+8AAA,U+F95C	열락	열락	열락	KOREAN_CORPUS
U+8F15,U+7387	경솔	경솔	경솔	KOREAN_CORPUS
U+7387,U+5148	솔선	솔선	솔선	KOREAN_CORPUS
U+7387,U+76F4	솔직	솔직	솔직	KOREAN_CORPUS
U+65AC,U+8870	참최	참최	참최	KOREAN_CORPUS
U+5E25,U+5E2B	솔사	솔사	솔사	KOREAN_CORPUS
U+5E2B,U+5148	솔선	솔선	솔선	KOREAN_CORPUS
U+661F,U+5BBF	성수	성수	성수	KOREAN_CORPUS
U+8FB0,U+5BBF	진수	진수	진수	KOREAN_CORPUS
U+6A19,U+F9FC	표지	표지	표지	KOREAN_CORPUS
U+6708,U+6C0F	월지	월지	월지	KOREAN_CORPUS
U+618E,U+F9B9	증오	증오	증오	KOREAN_CORPUS
U+5ACC,U+F9B9	혐오	혐오	혐오	KOREAN_CORPUS
U+822C,U+F974	반야	반야	반야	KOREAN_CORPUS
U+55DA,U+547C	오호	오호	오호	KOREAN_CORPUS
U+65BC,U+547C	오호	오호	오호	KOREAN_CORPUS
U+7C21,U+F9E0	간이	간이	간이	KOREAN_CORPUS
U+5BB9,U+F9E0	용이	용이	용이	KOREAN_CORPUS
U+8FE6,U+F96E	가섭	가섭	가섭	KOREAN_CORPUS
U+523A,U+6BBA	척살	척살	척살	KOREAN_CORPUS
U+8457,U+62BC	착압	착압	착압	KOREAN_CORPUS
U+7740,U+62BC	착압	착압	착압	KOREAN_CORPUS
U+5FFD,U+8AF8	홀저	홀저	홀저	KOREAN_CORPUS
U+5C45,U+8AF8	거저	거저	거저	KOREAN_CORPUS
U+751F,U+F971	생신	생신	생신	KOREAN_CORPUS
