# codepoint	char	readings_display	readings_normalized	tones	freq	sources
U+3400	㐀	qiū	qiu1	1	0	PYPINYIN,UNIHAN
U+3401	㐁	tiàn	tian4	4	0	PYPINYIN,UNIHAN
U+3404	㐄	kuà	kua4	4	0	PYPINYIN,UNIHAN
U+3405	㐅	wǔ	wu3	3	0	PYPINYIN,UNIHAN
U+3406	㐆	yǐn	yin3	3	0	KANJIDIC,PYPINYIN,UNIHAN
U+340C	㐌	yí	yi2	2	0	PYPINYIN,UNIHAN
U+3416	㐖	xié	xie2	2	0	PYPINYIN,UNIHAN
U+341C	㐜	chóu	chou2	2	0	PYPINYIN,UNIHAN
U+3421	㐡	nuò	nuo4	4	0	PYPINYIN,UNIHAN
U+3424	㐤	dān,qiú	dan1,qiu2	1,2	0,0	PYPINYIN,UNIHAN
U+3428	㐨	xù	xu4	4	0	PYPINYIN,UNIHAN
U+3429	㐩	xíng	xing2	2	0	PYPINYIN,UNIHAN
U+342B	㐫	xiōng	xiong1	1	0	PYPINYIN,UNIHAN
U+342C	㐬	liú	liu2	2	0	KANJIDIC,PYPINYIN,UNIHAN
U+342D	㐭	lǐn	lin3	3	0	PYPINYIN,UNIHAN
U+342E	㐮	xiāng	xiang1	1	0	KANJIDIC,PYPINYIN,UNIHAN
U+342F	㐯	yōng	yong1	1	0	PYPINYIN,UNIHAN
U+3430	㐰	xìn	xin4	4	0	PYPINYIN,UNIHAN
U+3431	㐱	zhěn	zhen3	3	0	PYPINYIN,UNIHAN
U+3432	㐲	dài	dai4	4	0	PYPINYIN,UNIHAN
U+3433	㐳	wù	wu4	4	0	PYPINYIN,UNIHAN
U+3434	㐴	pān	pan1	1	0	PYPINYIN,UNIHAN
U+3435	㐵	rú	ru2	2	0	PYPINYIN,UNIHAN
U+3437	㐷	mǎ	ma3	3	0	PYPINYIN,UNIHAN
U+3438	㐸	qiàn,cì	qian4,ci4	4,4	0,0	PYPINYIN,UNIHAN
U+3439	㐹	yì	yi4	4	0	PYPINYIN,UNIHAN
U+343A	㐺	yín,zhòng	yin2,zhong4	2,4	0,0	PYPINYIN,UNIHAN
U+343B	㐻	nèi	nei4	4	0	PYPINYIN,UNIHAN
U+343C	㐼	chèng	cheng4	4	0	PYPINYIN,UNIHAN
U+343D	㐽	fēng	feng1	1	0	PYPINYIN,UNIHAN
U+3441	㑁	zhuō	zhuo1	1	0	PYPINYIN,UNIHAN
U+3442	㑂	fǎng	fang3	3	0	PYPINYIN,UNIHAN
U+3443	㑃	ǎo	ao3	3	0	PYPINYIN,UNIHAN
U+3444	㑄	wǔ	wu3	3	0	PYPINYIN,UNIHAN
U+3445	㑅	zuò	zuo4	4	0	PYPINYIN,UNIHAN
U+3447	㑇	zhòu	zhou4	4	0	PYPINYIN,UNIHAN
U+3448	㑈	dòng	dong4	4	0	PYPINYIN,UNIHAN
U+3449	㑉	sù	su4	4	0	PYPINYIN,UNIHAN
U+344A	㑊	yì	yi4	4	0	PYPINYIN,UNIHAN
U+344B	㑋	qióng	qiong2	2	0	PYPINYIN,UNIHAN
U+344C	㑌	kuāng,wāng	kuang1,wang1	1,1	0,0	PYPINYIN,UNIHAN
U+344D	㑍	lèi	lei4	4	0	PYPINYIN,UNIHAN
U+344E	㑎	nǎo	nao3	3	0	PYPINYIN,UNIHAN
U+344F	㑏	zhù	zhu4	4	0	PYPINYIN,UNIHAN
U+3450	㑐	shū	shu1	1	0	PYPINYIN,UNIHAN
U+3454	㑔	xǔ	xu3	3	0	PYPINYIN,UNIHAN
U+3457	㑗	shēn	shen1	1	0	PYPINYIN,UNIHAN
U+3458	㑘	jiè	jie4	4	0	PYPINYIN,UNIHAN
U+3459	㑙	dié	die2	2	0	PYPINYIN,UNIHAN
U+345A	㑚	nuó	nuo2	2	0	PYPINYIN,UNIHAN
U+345B	㑛	sù	su4	4	0	PYPINYIN,UNIHAN
U+345C	㑜	yì,chì	yi4,chi4	4,4	0,0	PYPINYIN,UNIHAN
U+345D	㑝	lòng	long4	4	0	PYPINYIN,UNIHAN
U+345E	㑞	yìng	ying4	4	0	PYPINYIN,UNIHAN
U+345F	㑟	běng	beng3	3	0	PYPINYIN,UNIHAN
U+3463	㑣	lán	lan2	2	0	PYPINYIN,UNIHAN
U+3464	㑤	miáo	miao2	2	0	PYPINYIN,UNIHAN
U+3465	㑥	yì	yi4	4	0	PYPINYIN,UNIHAN
U+3466	㑦	lì	li4	4	0	PYPINYIN,UNIHAN
U+3467	㑧	jì	ji4	4	0	PYPINYIN,UNIHAN
U+3468	㑨	yǔ	yu3	3	0	KANJIDIC,PYPINYIN,UNIHAN
U+3469	㑩	luó	luo2	2	0	PYPINYIN,UNIHAN
U+346A	㑪	chái	chai2	2	0	KANJIDIC,PYPINYIN,UNIHAN
U+346E	㑮	hún	hun2	2	0	PYPINYIN,UNIHAN
U+346F	㑯	xǔ	xu3	3	0	PYPINYIN,UNIHAN
U+3470	㑰	huì	hui4	4	0	PYPINYIN,UNIHAN
U+3471	㑱	rǎo	rao3	3	0	PYPINYIN,UNIHAN
U+3473	㑳	zhòu,zhū	zhou4,zhu1	4,1	0,0	PYPINYIN,UNIHAN
U+3475	㑵	hàn	han4	4	0	PYPINYIN,UNIHAN
U+3476	㑶	xì	xi4	4	0	PYPINYIN,UNIHAN
U+3477	㑷	tài	tai4	4	0	PYPINYIN,UNIHAN
U+3478	㑸	yáo	yao2	2	0	PYPINYIN,UNIHAN
U+3479	㑹	huì	hui4	4	0	PYPINYIN,UNIHAN
U+347A	㑺	jùn	jun4	4	0	PYPINYIN,UNIHAN
U+347B	㑻	mà	ma4	4	0	PYPINYIN,UNIHAN
U+347C	㑼	lüè	lve4	4	0	PYPINYIN,UNIHAN
U+347D	㑽	táng	tang2	2	0	PYPINYIN,UNIHAN
U+347E	㑾	yáo	yao2	2	0	PYPINYIN,UNIHAN
