# codepoints	text	readings_display	readings_normalized	source
U+31,U+31,U+30	110	yāo yāo líng	yao1 yao1 ling2	CEDICT
U+31,U+31,U+39	119	yāo yāo jiǔ	yao1 yao1 jiu3	CEDICT
U+31,U+31,U+533A	11区	1 qū	11 qu1	CEDICT
U+31,U+32,U+30	120	yāo èr líng	yao1 er4 ling2	CEDICT
U+32,U+30,U+31,U+39,U+51A0,U+72B6,U+75C5,U+6BD2,U+75C5	2019冠状病毒病	èr líng yī jiǔ guān zhuàng bìng dú bìng	er4 ling2 yi1 jiu3 guan1 zhuang4 bing4 du2 bing4	CEDICT
U+32,U+31,U+4E09,U+4F53,U+7EFC,U+5408,U+75C7	21三体综合症	2 sān tǐ zōng hé zhèng	21 san1 ti3 zong1 he2 zheng4	CEDICT
U+33,U+43	3C	sān c	san1 c	CEDICT
U+33,U+44,U+6253,U+5370	3D打印	sān d dǎ yìn	san1 d da3 yin4	CEDICT
U+33,U+44,U+6253,U+5370,U+673A	3D打印机	sān d dǎ yìn jī	san1 d da3 yin4 ji1	CEDICT
U+33,U+50	3P	sān p	san1 p	CEDICT
U+33,U+51	3Q	sān q	san1 q	CEDICT
U+34,U+32,U+31	421	sì èr yī	si4 er4 yi1	CEDICT
U+34,U+53,U+5E97	4S店	sì s diàn	si4 s dian4	CEDICT
U+35,U+30,U+32,U+80F6	502胶	wǔ líng èr jiāo	wu3 ling2 er4 jiao1	CEDICT
U+38,U+38	88	bā bā	ba1 ba1	CEDICT
U+39,U+35,U+540E	95后	jiǔ wǔ hòu	jiu3 wu3 hou4	CEDICT
U+39,U+39,U+36	996	jiǔ jiǔ liù	jiu3 jiu3 liu4	CEDICT
U+41	A	a	a	CEDICT
U+41,U+41,U+5236	AA制	aa zhì	aa zhi4	CEDICT
U+41,U+42,U+5236	AB制	a b zhì	a b zhi4	CEDICT
U+41,U+43,U+47	ACG	a c g	a c g	CEDICT
U+41,U+5496	A咖	a kā	a ka1	CEDICT
