# codepoint	char	readings_display	readings_normalized	tones	freq	sources
U+3400	㐀	ㄑㄧㄡ	ㄑㄧㄡ	1	0	PYPINYIN,UNIHAN
U+3401	㐁	ㄊㄧㄢˋ	ㄊㄧㄢˋ	4	0	PYPINYIN,UNIHAN
U+3404	㐄	ㄎㄨㄚˋ	ㄎㄨㄚˋ	4	0	PYPINYIN,UNIHAN
U+3405	㐅	ㄨˇ	ㄨˇ	3	0	PYPINYIN,UNIHAN
U+3406	㐆	ㄧㄣˇ	ㄧㄣˇ	3	0	KANJIDIC,PYPINYIN,UNIHAN
U+340C	㐌	ㄧˊ	ㄧˊ	2	0	PYPINYIN,UNIHAN
U+3416	㐖	ㄒㄧㄝˊ	ㄒㄧㄝˊ	2	0	PYPINYIN,UNIHAN
U+341C	㐜	ㄔㄡˊ	ㄔㄡˊ	2	0	PYPINYIN,UNIHAN
U+3421	㐡	ㄋㄨㄛˋ	ㄋㄨㄛˋ	4	0	PYPINYIN,UNIHAN
U+3424	㐤	ㄉㄢ,ㄑㄧㄡˊ	ㄉㄢ,ㄑㄧㄡˊ	1,2	0,0	PYPINYIN,UNIHAN
U+3428	㐨	ㄒㄩˋ	ㄒㄩˋ	4	0	PYPINYIN,UNIHAN
U+3429	㐩	ㄒㄧㄥˊ	ㄒㄧㄥˊ	2	0	PYPINYIN,UNIHAN
U+342B	㐫	ㄒㄩㄥ	ㄒㄩㄥ	1	0	PYPINYIN,UNIHAN
U+342C	㐬	ㄌㄧㄡˊ	ㄌㄧㄡˊ	2	0	KANJIDIC,PYPINYIN,UNIHAN
U+342D	㐭	ㄌㄧㄣˇ	ㄌㄧㄣˇ	3	0	PYPINYIN,UNIHAN
U+342E	㐮	ㄒㄧㄤ	ㄒㄧㄤ	1	0	KANJIDIC,PYPINYIN,UNIHAN
U+342F	㐯	ㄩㄥ	ㄩㄥ	1	0	PYPINYIN,UNIHAN
U+3430	㐰	ㄒㄧㄣˋ	ㄒㄧㄣˋ	4	0	PYPINYIN,UNIHAN
U+3431	㐱	ㄓㄣˇ	ㄓㄣˇ	3	0	PYPINYIN,UNIHAN
U+3432	㐲	ㄉㄞˋ	ㄉㄞˋ	4	0	PYPINYIN,UNIHAN
U+3433	㐳	ㄨˋ	ㄨˋ	4	0	PYPINYIN,UNIHAN
U+3434	㐴	ㄆㄢ	ㄆㄢ	1	0	PYPINYIN,UNIHAN
U+3435	㐵	ㄖㄨˊ	ㄖㄨˊ	2	0	PYPINYIN,UNIHAN
U+3437	㐷	ㄇㄚˇ	ㄇㄚˇ	3	0	PYPINYIN,UNIHAN
U+3438	㐸	ㄑㄧㄢˋ,ㄘˋ	ㄑㄧㄢˋ,ㄘˋ	4,4	0,0	PYPINYIN,UNIHAN
U+3439	㐹	ㄧˋ	ㄧˋ	4	0	PYPINYIN,UNIHAN
U+343A	㐺	ㄧㄣˊ,ㄓㄨㄥˋ	ㄧㄣˊ,ㄓㄨㄥˋ	2,4	0,0	PYPINYIN,UNIHAN
U+343B	㐻	ㄋㄟˋ	ㄋㄟˋ	4	0	PYPINYIN,UNIHAN
U+343C	㐼	ㄔㄥˋ	ㄔㄥˋ	4	0	PYPINYIN,UNIHAN
U+343D	㐽	ㄈㄥ	ㄈㄥ	1	0	PYPINYIN,UNIHAN
U+3441	㑁	ㄓㄨㄛ	ㄓㄨㄛ	1	0	PYPINYIN,UNIHAN
U+3442	㑂	ㄈㄤˇ	ㄈㄤˇ	3	0	PYPINYIN,UNIHAN
U+3443	㑃	ㄠˇ	ㄠˇ	3	0	PYPINYIN,UNIHAN
U+3444	㑄	ㄨˇ	ㄨˇ	3	0	PYPINYIN,UNIHAN
U+3445	㑅	ㄗㄨㄛˋ	ㄗㄨㄛˋ	4	0	PYPINYIN,UNIHAN
U+3447	㑇	ㄓㄡˋ	ㄓㄡˋ	4	0	PYPINYIN,UNIHAN
U+3448	㑈	ㄉㄨㄥˋ	ㄉㄨㄥˋ	4	0	PYPINYIN,UNIHAN
U+3449	㑉	ㄙㄨˋ	ㄙㄨˋ	4	0	PYPINYIN,UNIHAN
U+344A	㑊	ㄧˋ	ㄧˋ	4	0	PYPINYIN,UNIHAN
U+344B	㑋	ㄑㄩㄥˊ	ㄑㄩㄥˊ	2	0	PYPINYIN,UNIHAN
U+344C	㑌	ㄎㄨㄤ,ㄨㄤ	ㄎㄨㄤ,ㄨㄤ	1,1	0,0	PYPINYIN,UNIHAN
U+344D	㑍	ㄌㄟˋ	ㄌㄟˋ	4	0	PYPINYIN,UNIHAN
U+344E	㑎	ㄋㄠˇ	ㄋㄠˇ	3	0	PYPINYIN,UNIHAN
U+344F	㑏	ㄓㄨˋ	ㄓㄨˋ	4	0	PYPINYIN,UNIHAN
U+3450	㑐	ㄕㄨ	ㄕㄨ	1	0	PYPINYIN,UNIHAN
U+3454	㑔	ㄒㄩˇ	ㄒㄩˇ	3	0	PYPINYIN,UNIHAN
U+3457	㑗	ㄕㄣ	ㄕㄣ	1	0	PYPINYIN,UNIHAN
U+3458	㑘	ㄐㄧㄝˋ	ㄐㄧㄝˋ	4	0	PYPINYIN,UNIHAN
U+3459	㑙	ㄉㄧㄝˊ	ㄉㄧㄝˊ	2	0	PYPINYIN,UNIHAN
U+345A	㑚	ㄋㄨㄛˊ	ㄋㄨㄛˊ	2	0	PYPINYIN,UNIHAN
U+345B	㑛	ㄙㄨˋ	ㄙㄨˋ	4	0	PYPINYIN,UNIHAN
U+345C	㑜	ㄧˋ,ㄔˋ	ㄧˋ,ㄔˋ	4,4	0,0	PYPINYIN,UNIHAN
U+345D	㑝	ㄌㄨㄥˋ	ㄌㄨㄥˋ	4	0	PYPINYIN,UNIHAN
U+345E	㑞	ㄧㄥˋ	ㄧㄥˋ	4	0	PYPINYIN,UNIHAN
U+345F	㑟	ㄅㄥˇ	ㄅㄥˇ	3	0	PYPINYIN,UNIHAN
U+3463	㑣	ㄌㄢˊ	ㄌㄢˊ	2	0	PYPINYIN,UNIHAN
U+3464	㑤	ㄇㄧㄠˊ	ㄇㄧㄠˊ	2	0	PYPINYIN,UNIHAN
U+3465	㑥	ㄧˋ	ㄧˋ	4	0	PYPINYIN,UNIHAN
U+3466	㑦	ㄌㄧˋ	ㄌㄧˋ	4	0	PYPINYIN,UNIHAN
U+3467	㑧	ㄐㄧˋ	ㄐㄧˋ	4	0	PYPINYIN,UNIHAN
U+3468	㑨	ㄩˇ	ㄩˇ	3	0	KANJIDIC,PYPINYIN,UNIHAN
U+3469	㑩	ㄌㄨㄛˊ	ㄌㄨㄛˊ	2	0	PYPINYIN,UNIHAN
U+346A	㑪	ㄔㄞˊ	ㄔㄞˊ	2	0	KANJIDIC,PYPINYIN,UNIHAN
U+346E	㑮	ㄏㄨㄣˊ	ㄏㄨㄣˊ	2	0	PYPINYIN,UNIHAN
U+346F	㑯	ㄒㄩˇ	ㄒㄩˇ	3	0	PYPINYIN,UNIHAN
U+3470	㑰	ㄏㄨㄟˋ	ㄏㄨㄟˋ	4	0	PYPINYIN,UNIHAN
U+3471	㑱	ㄖㄠˇ	ㄖㄠˇ	3	0	PYPINYIN,UNIHAN
U+3473	㑳	ㄓㄡˋ,ㄓㄨ	ㄓㄡˋ,ㄓㄨ	4,1	0,0	PYPINYIN,UNIHAN
U+3475	㑵	ㄏㄢˋ	ㄏㄢˋ	4	0	PYPINYIN,UNIHAN
U+3476	㑶	ㄒㄧˋ	ㄒㄧˋ	4	0	PYPINYIN,UNIHAN
U+3477	㑷	ㄊㄞˋ	ㄊㄞˋ	4	0	PYPINYIN,UNIHAN
