# shuangpin abc (智能ABC): pinyin syllable -> code (ported from RIME rime-double-pinyin, BSD-3-Clause)
# pinyin	code
a	oa
ai	ol
an	oj
ang	oh
ao	ok
ba	ba
bai	bl
ban	bj
bang	bh
bao	bk
bei	bq
ben	bf
beng	bg
bi	bi
bian	bw
biang	bt
biao	bz
bie	bx
bin	bc
bing	by
bo	bo
bong	bs
bu	bu
ca	ca
cai	cl
can	cj
cang	ch
cao	ck
ce	ce
cei	cq
cen	cf
ceng	cg
cha	ea
chai	el
chan	ej
chang	eh
chao	ek
che	ee
chen	ef
cheng	eg
chi	ei
chong	es
chou	eb
chu	eu
chua	ed
chuai	ec
chuan	ep
chuang	et
chui	em
chun	en
chuo	eo
ci	ci
cong	cs
cou	cb
cu	cu
cuan	cp
cui	cm
cun	cn
cuo	co
da	da
dai	dl
dan	dj
dang	dh
dao	dk
de	de
dei	dq
den	df
deng	dg
di	di
dia	dd
dian	dw
diao	dz
die	dx
din	dc
ding	dy
diu	dr
dong	ds
dou	db
du	du
duan	dp
dui	dm
dun	dn
duo	do
e	oe
ei	oq
en	of
eng	og
er	or
fa	fa
fan	fj
fang	fh
fei	fq
fen	ff
feng	fg
fiao	fz
fo	fo
fou	fb
fu	fu
ga	ga
gai	gl
gan	gj
gang	gh
gao	gk
ge	ge
gei	gq
gen	gf
geng	gg
gong	gs
gou	gb
gu	gu
gua	gd
guai	gc
guan	gp
guang	gt
gui	gm
gun	gn
guo	go
ha	ha
hai	hl
han	hj
hang	hh
hao	hk
he	he
hei	hq
hen	hf
heng	hg
hm	hm
hng	hng
hong	hs
hou	hb
hu	hu
hua	hd
huai	hc
huan	hp
huang	ht
hui	hm
hun	hn
huo	ho
ji	ji
jia	jd
jian	jw
jiang	jt
jiao	jz
jie	jx
jin	jc
jing	jy
jiong	js
jiu	jr
ju	jv
juan	jp
jue	jm
jun	jn
ka	ka
kai	kl
kan	kj
kang	kh
kao	kk
ke	ke
kei	kq
ken	kf
keng	kg
kong	ks
kou	kb
ku	ku
kua	kd
kuai	kc
kuan	kp
kuang	kt
kui	km
kun	kn
kuo	ko
la	la
lai	ll
lan	lj
lang	lh
lao	lk
le	le
lei	lq
len	lf
leng	lg
li	li
lia	ld
lian	lw
liang	lt
liao	lz
lie	lx
lin	lc
ling	ly
liu	lr
lo	lo
long	ls
lou	lb
lu	lu
luan	lp
lun	ln
luo	lo
lv	lv
lve	lm
ma	ma
mai	ml
man	mj
mang	mh
mao	mk
me	me
mei	mq
men	mf
meng	mg
mi	mi
mian	mw
miao	mz
mie	mx
min	mc
ming	my
miu	mr
mo	mo
mou	mb
mu	mu
m̀	m̀
m̄	m̄
n	n
na	na
nai	nl
nan	nj
nang	nh
nao	nk
ne	ne
nei	nq
nen	nf
neng	ng
ng	ng
ni	ni
nia	nd
nian	nw
niang	nt
niao	nz
nie	nx
nin	nc
ning	ny
niu	nr
nong	ns
nou	nb
nu	nu
nuan	np
nun	nn
nuo	no
nv	nv
nve	nm
o	oo
ou	ob
pa	pa
pai	pl
pan	pj
pang	ph
pao	pk
pei	pq
pen	pf
peng	pg
pi	pi
pian	pw
piao	pz
pie	px
pin	pc
ping	py
po	po
pou	pb
pu	pu
qi	qi
qia	qd
qian	qw
qiang	qt
qiao	qz
qie	qx
qin	qc
qing	qy
qiong	qs
qiu	qr
qu	qv
quan	qp
que	qm
qun	qn
ran	rj
rang	rh
rao	rk
re	re
ren	rf
reng	rg
ri	ri
rong	rs
rou	rb
ru	ru
rua	rd
ruan	rp
rui	rm
run	rn
ruo	ro
sa	sa
sai	sl
san	sj
sang	sh
sao	sk
se	se
sen	sf
seng	sg
sha	va
shai	vl
shan	vj
shang	vh
shao	vk
she	ve
shei	vq
shen	vf
sheng	vg
shi	vi
shou	vb
shu	vu
shua	vd
shuai	vc
shuan	vp
shuang	vt
shui	vm
shun	vn
shuo	vo
si	si
song	ss
sou	sb
su	su
suan	sp
sui	sm
sun	sn
suo	so
ta	ta
tai	tl
tan	tj
tang	th
tao	tk
te	te
tei	tq
teng	tg
ti	ti
tian	tw
tiao	tz
tie	tx
ting	ty
tong	ts
tou	tb
tu	tu
tuan	tp
tui	tm
tun	tn
tuo	to
wa	wa
wai	wl
wan	wj
wang	wh
wei	wq
wen	wf
weng	wg
wo	wo
wong	ws
wu	wu
xi	xi
xia	xd
xian	xw
xiang	xt
xiao	xz
xie	xx
xin	xc
xing	xy
xiong	xs
xiu	xr
xu	xv
xuan	xp
xue	xm
xun	xn
ya	ya
yan	yj
yang	yh
yao	yk
ye	ye
yi	yi
yin	yc
ying	yy
yo	yo
yong	ys
you	yb
yu	yv
yuan	yp
yue	ym
yun	yn
za	za
zai	zl
zan	zj
zang	zh
zao	zk
ze	ze
zei	zq
zen	zf
zeng	zg
zha	aa
zhai	al
zhan	aj
zhang	ah
zhao	ak
zhe	ae
zhei	aq
zhen	af
zheng	ag
zhi	ai
zhong	as
zhou	ab
zhu	au
zhua	ad
zhuai	ac
zhuan	ap
zhuang	at
zhui	am
zhun	an
zhuo	ao
zi	zi
zong	zs
zou	zb
zu	zu
zuan	zp
zui	zm
zun	zn
zuo	zo
ê̄	ê̄
ê̌	ê̌
ń	ń
ńg	ńg
ň	ň
ňg	ňg
ǹ	ǹ
ǹg	ǹg
ḿ	ḿ
ế	ế
ề	ề
