客車,객차
車庫,차고
金氏,김씨
大保,태보
大僕,태복
度支,탁지
豫度,예탁
句讀,구두
吏讀,이두
洞達,통달
洞察,통찰
洞燭,통촉
尙父,상보
尼父,이보
古公亶父,고공단보
敗北,패배
疏數,소삭
煩數,번삭
數罟,촉고
簞食,단사
樂山樂水,요산요수
阿干,아한
鹽干,염한
更張,경장
變更,변경
白乾蠶,백간잠
見齒,현치
謁見,알현
朝見,조현
魋結,추계
椎結,추계
契丹,글안
出必告,출필곡
吐谷渾,토욕혼
龜鑑,귀감
龜裂,균열
茶道,다도
茶房,다방
單于,선우
跳驅,조구
跳騰,조등
魚跳,어조
皐陶,고요
家隸,가예
奴隸,노예
僕隸,복예
袒免,단문
冒頓,묵돌
覆育,부육
覆翼,부익
伏鷄,부계
復活,부활
復興,부흥
否塞,비색
否運,비운
寺正,시정
九寺,구시
檢索,검색
思索,사색
減殺,감쇄
惱殺,뇌쇄
相殺,상쇄
殺到,쇄도
告訴狀,고소장
年賀狀,연하장
賞狀,상장
拔本塞源,발본색원
閉塞,폐색
遊說,유세
悅樂,열락
說樂,열락
輕率,경솔
率先,솔선
率直,솔직
斬衰,참최
帥師,솔사
師先,솔선
星宿,성수
辰宿,진수
標識,표지
月氏,월지
憎惡,증오
嫌惡,혐오
般若,반야
嗚呼,오호
於呼,오호
簡易,간이
容易,용이
迦葉,가섭
刺殺,척살
著押,착압
着押,착압
忽諸,홀저
居諸,거저
生辰,생신
誕辰,탄신
星辰,성신
徵調,치조
宮商角徵羽,궁상각치우
參差,참치
差備,채비
拓本,탁본
推敲,퇴고
三惡趣,삼악추
不然則,불연즉
必死則生,필사즉생
幸生則死,행생즉사
遍知,변지
布施,보시
狂暴,광포
橫暴,횡포
降伏,항복
降服,항복
投降,투항
喝食,할식
喝參,할참
喝火,할화
賈船,고선
商賈,상고
初八日,초파일
六月,유월
十月,시월
木瓜,모과
困難,곤란
乖愎,괴팍
娑婆,사바
邯鄲之夢,한단지몽
唵川面,옴천면
紙杻驛,지축역
庫間,곳간
貰房,셋방
數字,숫자
車間,찻간
退間,툇간
回數,횟수 
